r1,r2,r1len,r2len,r1conf,r2conf,r1sup,r2sup,r1selectionval,r2selectionval,label,r1truepos,r2truepos,r1falsepos,r2falsepos
{PopulatedPlacesEstablishedInThe10thCentury=1.0} => {Label=medium},"{MunicipalitiesOfThePeople'sRepublicOfChina=1.0,PopulatedPlacesEstablishedInThe10thCentury=1.0} => {Label=medium}",1,2,1,1,0.004,0.004,0.667,0.667,medium,1,1,0,0
{PopulatedPlacesInBrunei=1.0} => {Label=medium},"{CapitalsInAsia=1.0,PopulatedPlacesInBrunei=1.0} => {Label=medium}",1,2,1,1,0.004,0.004,0.667,0.667,medium,1,1,0,0
{PopulatedPlacesInQatar=1.0} => {Label=medium},"{CapitalsInAsia=1.0,PopulatedPlacesInQatar=1.0} => {Label=medium}",1,2,1,1,0.004,0.004,0.667,0.667,medium,1,1,0,0
{ProvincesOfThailand=1.0} => {Label=medium},"{CapitalsInAsia=1.0,ProvincesOfThailand=1.0} => {Label=medium}",1,2,1,1,0.004,0.004,0.667,0.667,medium,1,1,0,0
{Sub-provincialCitiesInThePeople'sRepublicOfChina=1.0} => {Label=medium},"{ProvincialCapitalsInChina=1.0,Sub-provincialCitiesInThePeople'sRepublicOfChina=1.0} => {Label=medium}",1,2,0.667,0.667,0.009,0.009,0.6,0.6,medium,2,2,1,1
{PopulatedPlacesInTheAmmanGovernorate=1.0} => {Label=medium},"{CapitalsInAsia=1.0,PopulatedPlacesInTheAmmanGovernorate=1.0} => {Label=medium}",1,2,1,1,0.004,0.004,0.667,0.667,medium,1,1,0,0
{PopulatedPlacesInTheLimaRegion=1.0} => {Label=medium},"{CapitalsInSouthAmerica=1.0,PopulatedPlacesInTheLimaRegion=1.0} => {Label=medium}",1,2,1,1,0.004,0.004,0.667,0.667,medium,1,1,0,0
{WorldHeritageSitesInEcuador=1.0} => {Label=medium},"{CapitalsInSouthAmerica=1.0,WorldHeritageSitesInEcuador=1.0} => {Label=medium}",1,2,1,1,0.004,0.004,0.667,0.667,medium,1,1,0,0
{PopulatedPlacesEstablishedInThe4thCenturyBC=1.0} => {Label=medium},"{ProvincialCapitalsInChina=1.0,PopulatedPlacesEstablishedInThe4thCenturyBC=1.0} => {Label=medium}",1,2,1,1,0.004,0.004,0.667,0.667,medium,1,1,0,0
{CitiesInJiangsu=1.0} => {Label=medium},"{ProvincialCapitalsInChina=1.0,Sub-provincialCitiesInThePeople'sRepublicOfChina=1.0,YouthOlympicGamesHostCities=1.0} => {Label=medium}",1,3,1,1,0.004,0.004,0.667,0.667,medium,1,1,0,0
