_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,rating,what_is_the_rationale_for_your_choice,friendly,friendlyshow,id,rating_gold,uri
847079468,12/15/2015 00:25:37,False,1832362571,,12/15/2015 00:22:49,False,sendearnings,1.0,8152580085630674071,USA,WA,Seattle,Good (weak influence),"Thrillers aren't my favorite genre, but some are good, and American thrillers are at least fun to watch most of the time, so I'd say this is a weak influence that I'd expect the film to be good.",AmericanThrillerFilms,American Thriller Films,30,,https://en.wikipedia.org/wiki/Category:American_thriller_films
847079468,12/15/2015 03:32:22,False,1832460513,,12/15/2015 03:29:00,False,neodev,0.8333,-3759061528335153073,USA,FL,Orlando,Bad (weak influence),Most of this movies are really bad,AmericanThrillerFilms,American Thriller Films,30,,https://en.wikipedia.org/wiki/Category:American_thriller_films
847079468,12/15/2015 04:15:23,False,1832475155,,12/15/2015 04:11:45,False,clixsense,1.0,-8352870515025580045,USA,MA,Boston,Good (weak influence),Some are okay and a few are much more,AmericanThrillerFilms,American Thriller Films,30,,https://en.wikipedia.org/wiki/Category:American_thriller_films
847079468,12/15/2015 10:08:20,False,1832648404,,12/15/2015 10:05:24,False,neodev,1.0,5769980367992755638,GBR,E6,Cirencester,no_influence,"Just a classification tool, no register of a film's quality.",AmericanThrillerFilms,American Thriller Films,30,,https://en.wikipedia.org/wiki/Category:American_thriller_films
847079468,12/15/2015 17:32:22,False,1832941432,,12/15/2015 17:25:38,False,clixsense,1.0,-2260206652604079415,USA,MA,Taunton,no_influence,"If you like thriller movies, you will rate this as great.  On the other hand if you don't like thrillers, you will rate them as poor.",AmericanThrillerFilms,American Thriller Films,30,,https://en.wikipedia.org/wiki/Category:American_thriller_films
847079469,12/18/2015 03:38:32,False,1835393801,,12/18/2015 03:37:22,False,prodege,1.0,6926418834212221769,USA,NV,Las Vegas,no_influence,The genre has little to do with the actual movie ratings.,BuddyFilms,Buddy Films,59,,https://en.wikipedia.org/wiki/Category:Buddy_films
847079469,12/18/2015 08:40:44,False,1835586040,,12/18/2015 08:34:03,False,neodev,1.0,-2104308781455984169,CAN,ON,Sudbury,Bad (weak influence),lesser known films,BuddyFilms,Buddy Films,59,,https://en.wikipedia.org/wiki/Category:Buddy_films
847079469,12/18/2015 20:41:50,False,1836062609,,12/18/2015 20:37:10,False,instagc,1.0,4152547085472673845,USA,AL,Montgomery,Good (weak influence),These movies usually have two characters who interact together throughout the movie such as partners.  In general these movies are comedies and are generally enjoyed and have several sequels to the original.,BuddyFilms,Buddy Films,59,,https://en.wikipedia.org/wiki/Category:Buddy_films
847079469,12/19/2015 02:21:46,False,1836235348,,12/19/2015 02:19:51,False,prodege,1.0,616202829112386380,USA,FL,North Fort Myers,no_influence,The plot of the movie doesn't really do much.,BuddyFilms,Buddy Films,59,,https://en.wikipedia.org/wiki/Category:Buddy_films
847079469,12/19/2015 13:33:15,False,1836527810,,12/19/2015 13:31:51,False,inboxpounds,1.0,-8171693150563976186,GBR,B7,Bristol,no_influence,It's just a film about buddies,BuddyFilms,Buddy Films,59,,https://en.wikipedia.org/wiki/Category:Buddy_films
847079470,12/14/2015 11:51:09,False,1831538249,,12/14/2015 11:46:23,False,elite,1.0,-320687174036273626,GBR,H9,London,no_influence,Only information about the basis of a movie,FilmsBasedOnTelevisionSeries,Films Based On Television Series,86,,https://en.wikipedia.org/wiki/Category:Films_based_on_television_series
847079470,12/14/2015 14:19:34,False,1831594896,,12/14/2015 14:16:58,False,neodev,0.8333,164728475736616226,USA,FL,Naples,no_influence,just how are based,FilmsBasedOnTelevisionSeries,Films Based On Television Series,86,,https://en.wikipedia.org/wiki/Category:Films_based_on_television_series
847079470,12/14/2015 14:51:07,False,1831611175,,12/14/2015 14:30:49,False,clixsense,1.0,-8608807635120794393,GBR,,,Good (weak influence),"OK, this is a tricky one. Many such films are dire, simply cashing in on a popular TV series. On the other hand some seem to work very well and allow the concepts behind the TV series to be developed further. Also fans of the TV show who like the films are likely to give high ratings (though, equally, those that don't like the film will give low ratings). In general, I think such films will receive a slight boost to their ratings over films not based on something which has already shown its popularity.",FilmsBasedOnTelevisionSeries,Films Based On Television Series,86,,https://en.wikipedia.org/wiki/Category:Films_based_on_television_series
847079470,12/14/2015 16:34:16,False,1831702991,,12/14/2015 16:32:06,False,clixsense,1.0,-5052343630977245211,CAN,BC,Chetwynd,no_influence,Depends whether you liked the television series or not.,FilmsBasedOnTelevisionSeries,Films Based On Television Series,86,,https://en.wikipedia.org/wiki/Category:Films_based_on_television_series
847079470,12/14/2015 18:08:48,False,1831815382,,12/14/2015 18:06:34,False,instagc,1.0,-8126200878490149936,USA,VA,Midlothian,Bad (weak influence),"Generally speaking, movie adaptations of TV series are not very good. I would be willing to give one a shot, but my expectations will be low!",FilmsBasedOnTelevisionSeries,Films Based On Television Series,86,,https://en.wikipedia.org/wiki/Category:Films_based_on_television_series
847079471,12/16/2015 03:39:14,False,1833470969,,12/16/2015 03:36:30,False,bitcoinget,1.0,-2405659520457746421,CAN,ON,Toronto,no_influence,Genre and year don't influence quality,X1990sHorrorFilms,Horror Films Released In 1990s,227,,https://en.wikipedia.org/wiki/Category:1990s_horror_films
847079471,12/16/2015 04:37:26,False,1833491866,,12/16/2015 04:25:08,False,prodege,1.0,5061137115979871410,CAN,AB,Edmonton,Bad (weak influence),bad movies made back then.,X1990sHorrorFilms,Horror Films Released In 1990s,227,,https://en.wikipedia.org/wiki/Category:1990s_horror_films
