_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,rating,what_is_the_rationale_for_your_choice,orig__golden,friendly,friendlyshow,id,orig,rating_gold,rating_gold_reason,uri
847148824,12/14/2015 19:29:29,False,1831886015,,12/14/2015 19:27:16,False,neodev,0.8333,164728475736616226,USA,FL,Naples,no_influence,not at all,,SocialistStates,Socialist states,0,Dbpedia_URL_type_http://dbpedia.org/class/yago/SocialistStates,,,https://en.wikipedia.org/wiki/Category:Socialist_states
847148824,12/14/2015 20:00:40,False,1831911476,,12/14/2015 19:58:11,False,neodev,1.0,-949082921944877288,USA,FL,Naples,Low (weak influence),,,SocialistStates,Socialist states,0,Dbpedia_URL_type_http://dbpedia.org/class/yago/SocialistStates,,,https://en.wikipedia.org/wiki/Category:Socialist_states
847148824,12/14/2015 23:30:30,False,1832327707,,12/14/2015 23:30:04,False,neodev,0.8333,-4709393052909220677,CAN,BC,Surrey,no_influence,,,SocialistStates,Socialist states,0,Dbpedia_URL_type_http://dbpedia.org/class/yago/SocialistStates,,,https://en.wikipedia.org/wiki/Category:Socialist_states
847148824,12/15/2015 00:33:22,False,1832367337,,12/15/2015 00:29:52,False,sendearnings,0.8333,8152580085630674071,USA,WA,Seattle,no_influence,Socialism by itself would have no impact on my thoughts of whether a socialist country would have a higher or lower accident rate.,,SocialistStates,Socialist states,0,Dbpedia_URL_type_http://dbpedia.org/class/yago/SocialistStates,,,https://en.wikipedia.org/wiki/Category:Socialist_states
847148824,12/15/2015 03:29:21,False,1832459469,,12/15/2015 03:28:30,False,neodev,1.0,-8733982938644719358,CAN,ON,Toronto,no_influence,,,SocialistStates,Socialist states,0,Dbpedia_URL_type_http://dbpedia.org/class/yago/SocialistStates,,,https://en.wikipedia.org/wiki/Category:Socialist_states
847148825,12/14/2015 16:30:04,False,1831698246,,12/14/2015 16:26:34,False,tremorgames,1.0,6789900352763363366,CAN,ON,Mississauga,low_strong_influence,These islands have very small populations and do not rely as much on cars for transportation. Thus there is less risk of traffic accidents.,,IslandsOfTheIndianOcean,Islands of the Indian Ocean,4,Dbpedia_URL_type_http://dbpedia.org/class/yago/IslandsOfTheIndianOcean,,,https://en.wikipedia.org/wiki/Category:Islands_of_the_Indian_Ocean
847148825,12/14/2015 17:05:13,False,1831738073,,12/14/2015 16:50:52,False,clixsense,1.0,-8608807635120794393,GBR,,,no_influence,"Some probably are so small they don't have traffic accidents because they have no traffic! Yet others may be crowded and have high rates as a result. I feel that ""No influnce"" is the only answer possible as, whilst being an island does influnce traffic accidents, it's impossible to say whether it's a positive or negative influence.",,IslandsOfTheIndianOcean,Islands of the Indian Ocean,4,Dbpedia_URL_type_http://dbpedia.org/class/yago/IslandsOfTheIndianOcean,,,https://en.wikipedia.org/wiki/Category:Islands_of_the_Indian_Ocean
847148825,12/14/2015 18:52:58,False,1831854196,,12/14/2015 18:51:27,False,cotter,1.0,1144460909596711058,USA,,,no_influence,This is simply for the island and doesn't contribute anything about traffic.,,IslandsOfTheIndianOcean,Islands of the Indian Ocean,4,Dbpedia_URL_type_http://dbpedia.org/class/yago/IslandsOfTheIndianOcean,,,https://en.wikipedia.org/wiki/Category:Islands_of_the_Indian_Ocean
847148825,12/14/2015 19:06:17,False,1831868717,,12/14/2015 19:05:51,False,neodev,0.8333,-7633972618443835903,USA,IA,West Bend,no_influence,,,IslandsOfTheIndianOcean,Islands of the Indian Ocean,4,Dbpedia_URL_type_http://dbpedia.org/class/yago/IslandsOfTheIndianOcean,,,https://en.wikipedia.org/wiki/Category:Islands_of_the_Indian_Ocean
847148825,12/14/2015 19:24:38,False,1831882795,,12/14/2015 19:21:32,False,instagc,0.8333,-5459513379914687450,USA,TX,Kempner,no_influence,being on an island doesn't affect driving skills,,IslandsOfTheIndianOcean,Islands of the Indian Ocean,4,Dbpedia_URL_type_http://dbpedia.org/class/yago/IslandsOfTheIndianOcean,,,https://en.wikipedia.org/wiki/Category:Islands_of_the_Indian_Ocean
