"r1id","r2id","algorithm","rulerelation","dataset","which_of_the_rules_do_you_find_as_more_plausible","tag","target","r1len","r2len","lenDelta","lenRatio","r1DepthMax","r2DepthMax","DepthMaxDelta","DepthMaxRatio","r2DepthMin","r1DepthMin","DepthMinDelta","DepthMinRatio","r1LabelLengthSum","r2LabelLengthSum","LabelLengthSumDelta","LabelLengthSumRatio","r1LabelLengthMax","r2LabelLengthMax","LabelLengthMaxDelta","LabelLengthMaxRatio","r1LabelLengthAvg","r2LabelLengthAvg","LabelLengthAvgDelta","LabelLengthAvgRatio","r2LabelLengthMin","r1LabelLengthMin","LabelLengthMinDelta","LabelLengthMinRatio","r1minDistance","r2minDistance","MinDistanceDelta","MinDistanceRatio","r1maxDistance","MaxDistanceDelta","MaxDistanceRatio","r1PageRankMax","r2PageRankMax","PageRankMaxDelta","PageRankMaxRatio","r2PageRankMin","r1PageRankMin","PageRankMinDelta","PageRankMinRatio","r1PageRankAvg","r2PageRankAvg","PageRankAvgDelta","PageRankAvgRatio","r1conf","r2conf","ConfDelta","ConfRatio","r1supp","r2supp","SuppDelta","SuppRatio","r1LitImpMax","r2LitImpMax","LitImpMaxDelta","LitImpMaxRatio","r2LitImpMin","r1LitImpMin","LitImpMinDelta","LitImpMinRatio","r1LitImpAvg","r2LitImpAvg","LitImpAvgDelta","LitImpAvgRatio","r1AttImpMax","r2AttImpMax","AttImpMaxDelta","AttImpMaxRatio","r2AttImpMin","r1AttImpMin","AttImpMinDelta","AttImpMinRatio","r1AttImpAvg","r2AttImpAvg","AttImpAvgDelta","AttImpAvgRatio","r1AttImpSum","r2AttImpSum","AttImpSumDelta","AttImpSumRatio","r1LitImpSum","r2LitImpSum","LitImpSumDelta","LitImpSumRatio"
"22449","23679","InvertedHeuristics","differentLengthRulesNeitherDisjunctNorSubsumingAtt","TRAFFIC","Rule 2 (weak preference)","dfInvertedHeuristicsOther","-1","1.0","2.0","-1.0","0.5","6","6","0","1.0","6","6","0","1.0","18","58","-40","0.3103448275862069","18","41","-23","0.43902439024390244","18","29","-11","0.6206896551724138","17","18","-1","0.9444444444444444","0.0","1.0","-1.0","0.0","0.0","0.0","","44.05854367641753","","","","","44.05854367641753","","","44.05854367641753","","","","1.0","1.0","0.0","1.0","","","","","0.0","-0.4","0.4","-0.0","-0.4","0.0","-0.4","-inf","0.0","-0.4","0.4","-0.0","5.5","5.5","0.0","1.0","2.6666666666666665","5.5","-2.8333333333333335","0.4848484848484848","5.5","4.083333333333333","1.416666666666667","1.3469387755102042","5.5","8.166666666666666","-2.666666666666666","0.6734693877551021","0.0","-0.4","0.4","-0.0"
"22449","23679","InvertedHeuristics","differentLengthRulesNeitherDisjunctNorSubsumingAtt","TRAFFIC","Rule 1 (strong preference)","dfInvertedHeuristicsOther","2","1.0","2.0","-1.0","0.5","6","6","0","1.0","6","6","0","1.0","18","58","-40","0.3103448275862069","18","41","-23","0.43902439024390244","18","29","-11","0.6206896551724138","17","18","-1","0.9444444444444444","0.0","1.0","-1.0","0.0","0.0","0.0","","44.05854367641753","","","","","44.05854367641753","","","44.05854367641753","","","","1.0","1.0","0.0","1.0","","","","","0.0","-0.4","0.4","-0.0","-0.4","0.0","-0.4","-inf","0.0","-0.4","0.4","-0.0","5.5","5.5","0.0","1.0","2.6666666666666665","5.5","-2.8333333333333335","0.4848484848484848","5.5","4.083333333333333","1.416666666666667","1.3469387755102042","5.5","8.166666666666666","-2.666666666666666","0.6734693877551021","0.0","-0.4","0.4","-0.0"
"22449","23679","InvertedHeuristics","differentLengthRulesNeitherDisjunctNorSubsumingAtt","TRAFFIC","Rule 1 (strong preference)","dfInvertedHeuristicsOther","2","1.0","2.0","-1.0","0.5","6","6","0","1.0","6","6","0","1.0","18","58","-40","0.3103448275862069","18","41","-23","0.43902439024390244","18","29","-11","0.6206896551724138","17","18","-1","0.9444444444444444","0.0","1.0","-1.0","0.0","0.0","0.0","","44.05854367641753","","","","","44.05854367641753","","","44.05854367641753","","","","1.0","1.0","0.0","1.0","","","","","0.0","-0.4","0.4","-0.0","-0.4","0.0","-0.4","-inf","0.0","-0.4","0.4","-0.0","5.5","5.5","0.0","1.0","2.6666666666666665","5.5","-2.8333333333333335","0.4848484848484848","5.5","4.083333333333333","1.416666666666667","1.3469387755102042","5.5","8.166666666666666","-2.666666666666666","0.6734693877551021","0.0","-0.4","0.4","-0.0"
"22449","23679","InvertedHeuristics","differentLengthRulesNeitherDisjunctNorSubsumingAtt","TRAFFIC","Rule 2 (strong preference)","dfInvertedHeuristicsOther","-2","1.0","2.0","-1.0","0.5","6","6","0","1.0","6","6","0","1.0","18","58","-40","0.3103448275862069","18","41","-23","0.43902439024390244","18","29","-11","0.6206896551724138","17","18","-1","0.9444444444444444","0.0","1.0","-1.0","0.0","0.0","0.0","","44.05854367641753","","","","","44.05854367641753","","","44.05854367641753","","","","1.0","1.0","0.0","1.0","","","","","0.0","-0.4","0.4","-0.0","-0.4","0.0","-0.4","-inf","0.0","-0.4","0.4","-0.0","5.5","5.5","0.0","1.0","2.6666666666666665","5.5","-2.8333333333333335","0.4848484848484848","5.5","4.083333333333333","1.416666666666667","1.3469387755102042","5.5","8.166666666666666","-2.666666666666666","0.6734693877551021","0.0","-0.4","0.4","-0.0"
"22449","23679","InvertedHeuristics","differentLengthRulesNeitherDisjunctNorSubsumingAtt","TRAFFIC","Rule 1 (weak preference)","dfInvertedHeuristicsOther","1","1.0","2.0","-1.0","0.5","6","6","0","1.0","6","6","0","1.0","18","58","-40","0.3103448275862069","18","41","-23","0.43902439024390244","18","29","-11","0.6206896551724138","17","18","-1","0.9444444444444444","0.0","1.0","-1.0","0.0","0.0","0.0","","44.05854367641753","","","","","44.05854367641753","","","44.05854367641753","","","","1.0","1.0","0.0","1.0","","","","","0.0","-0.4","0.4","-0.0","-0.4","0.0","-0.4","-inf","0.0","-0.4","0.4","-0.0","5.5","5.5","0.0","1.0","2.6666666666666665","5.5","-2.8333333333333335","0.4848484848484848","5.5","4.083333333333333","1.416666666666667","1.3469387755102042","5.5","8.166666666666666","-2.666666666666666","0.6734693877551021","0.0","-0.4","0.4","-0.0"
"22449","23679","InvertedHeuristics","differentLengthRulesNeitherDisjunctNorSubsumingAtt","TRAFFIC","Rule 1 (weak preference)","dfInvertedHeuristicsOther","1","1.0","2.0","-1.0","0.5","6","6","0","1.0","6","6","0","1.0","18","58","-40","0.3103448275862069","18","41","-23","0.43902439024390244","18","29","-11","0.6206896551724138","17","18","-1","0.9444444444444444","0.0","1.0","-1.0","0.0","0.0","0.0","","44.05854367641753","","","","","44.05854367641753","","","44.05854367641753","","","","1.0","1.0","0.0","1.0","","","","","0.0","-0.4","0.4","-0.0","-0.4","0.0","-0.4","-inf","0.0","-0.4","0.4","-0.0","5.5","5.5","0.0","1.0","2.6666666666666665","5.5","-2.8333333333333335","0.4848484848484848","5.5","4.083333333333333","1.416666666666667","1.3469387755102042","5.5","8.166666666666666","-2.666666666666666","0.6734693877551021","0.0","-0.4","0.4","-0.0"
"22449","23679","InvertedHeuristics","differentLengthRulesNeitherDisjunctNorSubsumingAtt","TRAFFIC","Rule 2 (weak preference)","dfInvertedHeuristicsOther","-1","1.0","2.0","-1.0","0.5","6","6","0","1.0","6","6","0","1.0","18","58","-40","0.3103448275862069","18","41","-23","0.43902439024390244","18","29","-11","0.6206896551724138","17","18","-1","0.9444444444444444","0.0","1.0","-1.0","0.0","0.0","0.0","","44.05854367641753","","","","","44.05854367641753","","","44.05854367641753","","","","1.0","1.0","0.0","1.0","","","","","0.0","-0.4","0.4","-0.0","-0.4","0.0","-0.4","-inf","0.0","-0.4","0.4","-0.0","5.5","5.5","0.0","1.0","2.6666666666666665","5.5","-2.8333333333333335","0.4848484848484848","5.5","4.083333333333333","1.416666666666667","1.3469387755102042","5.5","8.166666666666666","-2.666666666666666","0.6734693877551021","0.0","-0.4","0.4","-0.0"
"22449","23679","InvertedHeuristics","differentLengthRulesNeitherDisjunctNorSubsumingAtt","TRAFFIC","Rule 1 (strong preference)","dfInvertedHeuristicsOther","2","1.0","2.0","-1.0","0.5","6","6","0","1.0","6","6","0","1.0","18","58","-40","0.3103448275862069","18","41","-23","0.43902439024390244","18","29","-11","0.6206896551724138","17","18","-1","0.9444444444444444","0.0","1.0","-1.0","0.0","0.0","0.0","","44.05854367641753","","","","","44.05854367641753","","","44.05854367641753","","","","1.0","1.0","0.0","1.0","","","","","0.0","-0.4","0.4","-0.0","-0.4","0.0","-0.4","-inf","0.0","-0.4","0.4","-0.0","5.5","5.5","0.0","1.0","2.6666666666666665","5.5","-2.8333333333333335","0.4848484848484848","5.5","4.083333333333333","1.416666666666667","1.3469387755102042","5.5","8.166666666666666","-2.666666666666666","0.6734693877551021","0.0","-0.4","0.4","-0.0"
"22449","23679","InvertedHeuristics","differentLengthRulesNeitherDisjunctNorSubsumingAtt","TRAFFIC","Rule 2 (strong preference)","dfInvertedHeuristicsOther","-2","1.0","2.0","-1.0","0.5","6","6","0","1.0","6","6","0","1.0","18","58","-40","0.3103448275862069","18","41","-23","0.43902439024390244","18","29","-11","0.6206896551724138","17","18","-1","0.9444444444444444","0.0","1.0","-1.0","0.0","0.0","0.0","","44.05854367641753","","","","","44.05854367641753","","","44.05854367641753","","","","1.0","1.0","0.0","1.0","","","","","0.0","-0.4","0.4","-0.0","-0.4","0.0","-0.4","-inf","0.0","-0.4","0.4","-0.0","5.5","5.5","0.0","1.0","2.6666666666666665","5.5","-2.8333333333333335","0.4848484848484848","5.5","4.083333333333333","1.416666666666667","1.3469387755102042","5.5","8.166666666666666","-2.666666666666666","0.6734693877551021","0.0","-0.4","0.4","-0.0"
"22449","23679","InvertedHeuristics","differentLengthRulesNeitherDisjunctNorSubsumingAtt","TRAFFIC","Rule 2 (strong preference)","dfInvertedHeuristicsOther","-2","1.0","2.0","-1.0","0.5","6","6","0","1.0","6","6","0","1.0","18","58","-40","0.3103448275862069","18","41","-23","0.43902439024390244","18","29","-11","0.6206896551724138","17","18","-1","0.9444444444444444","0.0","1.0","-1.0","0.0","0.0","0.0","","44.05854367641753","","","","","44.05854367641753","","","44.05854367641753","","","","1.0","1.0","0.0","1.0","","","","","0.0","-0.4","0.4","-0.0","-0.4","0.0","-0.4","-inf","0.0","-0.4","0.4","-0.0","5.5","5.5","0.0","1.0","2.6666666666666665","5.5","-2.8333333333333335","0.4848484848484848","5.5","4.083333333333333","1.416666666666667","1.3469387755102042","5.5","8.166666666666666","-2.666666666666666","0.6734693877551021","0.0","-0.4","0.4","-0.0"
