"","r1id","r2id","r1len","r2len","r1","r2","correctlyclassifiedoverlap","coverageoverlap","label","r1conf","r2conf","r1supp","r2supp","intersectionwholerule","literalintersectionlength","r1correct","r2correct","r1coverage","r2coverage","cluer1","cluer2","tag"
0,9.0,11.0,1.0,1.0,"{CoastalCitiesInAustralia=1.0} => {Label=highest}","{AustralianCapitalCities=1.0} => {Label=highest}",0.8888888888888888,0.8888888888888888,"high",1.0,1.0,0.0173913043478261,0.0217391304347826,"['Melbourne', 'Sydney', 'Adelaide', 'Brisbane']",0.0,"['Sydney', 'Melbourne', 'Adelaide', 'Brisbane']","['Sydney', 'Melbourne', 'Adelaide', 'Canberra', 'Brisbane']","['Sydney', 'Melbourne', 'Adelaide', 'Brisbane']","['Sydney', 'Melbourne', 'Adelaide', 'Canberra', 'Brisbane']","","","arules"
1,1.0,12.0,1.0,2.0,"{CitiesInSwitzerland=1.0} => {Label=highest}","{CitiesInSwitzerland=1.0,CantonalCapitalsOfSwitzerland=1.0} => {Label=highest}",1.0,1.0,"high",1.0,1.0,0.0130434782608696,0.0130434782608696,"['Zurich', 'Bern', 'Geneva']",1.0,"['Zurich', 'Geneva', 'Bern']","['Zurich', 'Geneva', 'Bern']","['Zurich', 'Geneva', 'Bern']","['Zurich', 'Geneva', 'Bern']","","","arules"
2,"228058176694295263485897857663939554001","180083146646906528065097401218984495135",2.0,1.0,"{PortCitiesInAfrica=1.0,CapitalsInAfrica=1.0} => {Label=low}","{RegionalCapitalsInGhana=1.0} => {Label=low}","","","low",0.8,1.0,"","","","","","","","","","","dfInvertedHeuristics"
3,"206218685416167650040181179144080953789","221051683448137331264039752078235215353",1.0,2.0,"{RegionsOfMali=1.0} => {Label=lowest}","{CapitalsInAfrica=1.0,CapitalDistrictsAndTerritories=1.0} => {Label=lowest}","","","lowest",1.0,1.0,"","","","","","","","","","","dfInvertedHeuristics"
4,2.0,12.0,1.0,2.0,"{PopulatedPlacesEstablishedInThe1stMillenniumBC=1.0} => {Label=highest}","{CitiesInSwitzerland=1.0,CantonalCapitalsOfSwitzerland=1.0} => {Label=highest}",0.3333333333333333,0.3333333333333333,"high",1.0,1.0,0.0130434782608696,0.0130434782608696,"['Geneva']",0.0,"['Vienna', 'Geneva', 'Milan']","['Zurich', 'Geneva', 'Bern']","['Vienna', 'Geneva', 'Milan']","['Zurich', 'Geneva', 'Bern']","","","arules"
5,5.0,15.0,1.0,2.0,"{MetropolitanCitiesInIndia=1.0} => {Label=low}","{MetropolitanCitiesInIndia=1.0,IndianCapitalCities=1.0} => {Label=low}",0.8888888888888888,0.8888888888888888,"low",1.0,1.0,0.0217391304347826,0.0173913043478261,"['Bangalore', 'Mumbai', 'Chennai', 'Kolkata']",1.0,"['Pune', 'Bangalore', 'Chennai', 'Mumbai', 'Kolkata']","['Bangalore', 'Chennai', 'Mumbai', 'Kolkata']","['Pune', 'Bangalore', 'Chennai', 'Mumbai', 'Kolkata']","['Bangalore', 'Chennai', 'Mumbai', 'Kolkata']","","","arules"
6,"58505559780526543778758537343014838001","228058176694295263485897857663939554001",1.0,2.0,"{RegionalCapitalsInSenegal=1.0} => {Label=low}","{PortCitiesInAfrica=1.0,CapitalsInAfrica=1.0} => {Label=low}","","","low",1.0,0.8,"","","","","","","","","","","dfInvertedHeuristics"
7,29.0,10.0,1.0,1.0,"{PortCitiesAndTownsOfTheNorthSea=1.0} => {Label=highest}","{NUTS1StatisticalRegionsOfTheEuropeanUnion=1.0} => {Label=highest}",0.3333333333333333,0.2857142857142857,"high",0.75,1.0,0.0130434782608696,0.0130434782608696,"['Hamburg']",0.0,"['Amsterdam', 'Hamburg', 'Oslo']","['Hamburg', 'Luxembourg', 'Brussels']","['Amsterdam', 'Hamburg', 'Oslo', 'Aberdeen']","['Hamburg', 'Luxembourg', 'Brussels']","","","arules"
8,"221051683448137331264039752078235215353","301038215826858447275791210362646601290",2.0,1.0,"{CapitalsInAfrica=1.0,CapitalDistrictsAndTerritories=1.0} => {Label=lowest}","{RegionsOfNiger=1.0} => {Label=lowest}","","","lowest",1.0,1.0,"","","","","","","","","","","dfInvertedHeuristics"
9,43.0,40.0,1.0,2.0,"{PortCitiesAndTownsOfTheBalticSea=1.0} => {Label=highest}","{CapitalsInEurope=1.0,PortCitiesAndTownsOfTheBalticSea=1.0} => {Label=highest}",1.0,0.9090909090909092,"high",0.5,0.6,0.0130434782608696,0.0130434782608696,"['Copenhagen', 'Stockholm', 'Helsinki']",1.0,"['Copenhagen', 'Stockholm', 'Helsinki']","['Copenhagen', 'Stockholm', 'Helsinki']","['Copenhagen', 'Stockholm', 'Helsinki', 'Tallinn', 'Riga', 'Saint Petersburg']","['Copenhagen', 'Stockholm', 'Helsinki', 'Tallinn', 'Riga']","","","arules"
10,"274655948905694956472741743805769392736","60622486094577545314164023810514184501",1.0,2.0,"{CountySeatsInPennsylvania=1.0} => {Label=high}","{PortSettlementsInTheUnitedStates=1.0,CountySeatsInPennsylvania=1.0} => {Label=high}","","","high",1.0,1.0,"","","","","","","","","","","dfInvertedHeuristics"
11,6.0,10.0,1.0,1.0,"{GermanStateCapitals=1.0} => {Label=highest}","{NUTS1StatisticalRegionsOfTheEuropeanUnion=1.0} => {Label=highest}",0.2857142857142857,0.2857142857142857,"high",1.0,1.0,0.0173913043478261,0.0130434782608696,"['Hamburg']",0.0,"['Munich', 'Berlin', 'Hamburg', 'Stuttgart']","['Hamburg', 'Luxembourg', 'Brussels']","['Munich', 'Berlin', 'Hamburg', 'Stuttgart']","['Hamburg', 'Luxembourg', 'Brussels']","","","arules"
12,31.0,24.0,2.0,1.0,"{PopulatedCoastalPlacesInJapan=1.0,PortSettlementsInJapan=1.0} => {Label=high}","{PortSettlementsInJapan=1.0} => {Label=high}",1.0,1.0,"high",0.75,0.75,0.0130434782608696,0.0130434782608696,"['Yokohama', 'Osaka', 'Kobe']",1.0,"['Kobe', 'Yokohama', 'Osaka']","['Kobe', 'Yokohama', 'Osaka']","['Tokyo', 'Kobe', 'Yokohama', 'Osaka']","['Tokyo', 'Kobe', 'Yokohama', 'Osaka']","","","arules"
13,"175108142107955880191952258659758030307","228058176694295263485897857663939554001",1.0,2.0,"{ProvincialCapitalsInMozambique=1.0} => {Label=low}","{PortCitiesInAfrica=1.0,CapitalsInAfrica=1.0} => {Label=low}","","","low",1.0,0.8,"","","","","","","","","","","dfInvertedHeuristics"
14,25.0,31.0,1.0,2.0,"{PopulatedCoastalPlacesInJapan=1.0} => {Label=high}","{PopulatedCoastalPlacesInJapan=1.0,PortSettlementsInJapan=1.0} => {Label=high}",1.0,1.0,"high",0.75,0.75,0.0130434782608696,0.0130434782608696,"['Yokohama', 'Osaka', 'Kobe']",1.0,"['Kobe', 'Yokohama', 'Osaka']","['Kobe', 'Yokohama', 'Osaka']","['Tokyo', 'Kobe', 'Yokohama', 'Osaka']","['Tokyo', 'Kobe', 'Yokohama', 'Osaka']","","","arules"
15,"144540238266824159224332065947760882536","228058176694295263485897857663939554001",1.0,2.0,"{PopulatedPlacesInGabon=1.0} => {Label=low}","{PortCitiesInAfrica=1.0,CapitalsInAfrica=1.0} => {Label=low}","","","low",1.0,0.8,"","","","","","","","","","","dfInvertedHeuristics"
16,25.0,24.0,1.0,1.0,"{PopulatedCoastalPlacesInJapan=1.0} => {Label=high}","{PortSettlementsInJapan=1.0} => {Label=high}",1.0,1.0,"high",0.75,0.75,0.0130434782608696,0.0130434782608696,"['Yokohama', 'Osaka', 'Kobe']",0.0,"['Kobe', 'Yokohama', 'Osaka']","['Kobe', 'Yokohama', 'Osaka']","['Tokyo', 'Kobe', 'Yokohama', 'Osaka']","['Tokyo', 'Kobe', 'Yokohama', 'Osaka']","","","arules"
17,1.0,0.0,1.0,1.0,"{CitiesInSwitzerland=1.0} => {Label=highest}","{CantonalCapitalsOfSwitzerland=1.0} => {Label=highest}",1.0,1.0,"high",1.0,1.0,0.0130434782608696,0.0130434782608696,"['Zurich', 'Bern', 'Geneva']",0.0,"['Zurich', 'Geneva', 'Bern']","['Zurich', 'Geneva', 'Bern']","['Zurich', 'Geneva', 'Bern']","['Zurich', 'Geneva', 'Bern']","","","arules"
