_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,what_is_the_rationale_for_your_choice,which_of_the_rules_do_you_find_as_more_plausible,what_is_the_rationale_for_your_choice_gold,which_of_the_rules_do_you_find_as_more_plausible_gold,x,y
866785137,1/25/2016 16:48:34,1866621032,1/25/2016 16:46:27,False,zoombucks,0.8333,-2963045104639945668,CAN,ON,North Bay,"If Jenny is concerned about discrimination, then very likely that includes discrimination against women and since she's already outspoken, then chances are she's a voice for women and moves among feminist circles.",jenny_is_a_bank_teller_and_is_active_in_the_feminist_movement,,,z,s
866785137,1/25/2016 16:48:49,1866621084,1/25/2016 16:47:45,False,elite,0.8333,9196925273462636857,USA,NY,Rochester,,jenny_is_a_bank_teller_and_is_active_in_the_feminist_movement,,,z,s
866785137,1/25/2016 16:49:53,1866621502,1/25/2016 16:48:47,False,gifthulk,0.1667,6390219152594388945,USA,PA,Linesville,A female bank teller is not automatically a feminist,jenny_is_a_bank_teller,,,z,s
866785137,1/25/2016 16:51:06,1866621925,1/25/2016 16:47:20,False,instagc,0.8333,5542761812920831341,USA,TN,Kingston,"She is outspoken, she majored in philosophy, she had deep concerns about social justice/discrimination and was a protester while in college.",jenny_is_a_bank_teller_and_is_active_in_the_feminist_movement,,,z,s
866785137,1/25/2016 16:52:00,1866622256,1/25/2016 16:48:43,False,points2shop,0.75,5597302616078027396,GBR,I4,Mitcham,"Because she is outspoken, has been concerned with issues of discrimination and social justice. Also taken part in demonstrations in the past. This might suggest she has carried on these activities into later life as part of the feminist movement.",jenny_is_a_bank_teller_and_is_active_in_the_feminist_movement,,,z,s
866785137,1/25/2016 16:52:41,1866622472,1/25/2016 16:50:42,False,clixsense,0.6667,2069341316947594916,GBR,B4,Bradford,Jenny likes to be outspoken and voice her views with vigour,jenny_is_a_bank_teller_and_is_active_in_the_feminist_movement,,,z,s
866785137,1/25/2016 16:55:47,1866623922,1/25/2016 16:51:41,False,neodev,0.7692,5769980367992755638,GBR,E6,Cirencester,"There is nothing in the information given to suggest Jenny would become a bank teller (indeed, she majored in philiospher, rather than something numerical...), but the interest in issues of discrimination and social justice might suggest an active association with feminism.",jenny_is_a_bank_teller_and_is_active_in_the_feminist_movement,,,z,s
866785137,1/25/2016 16:56:18,1866624235,1/25/2016 16:51:17,False,prodege,0.2308,-1445418372184510741,GBR,D2,Derby,There is only a low probability that Jenny is a bank teller.  The probability that she is a bank teller and in the feminist movement has to be lower- otherwise all bank tellers would be in the feminist movement.  Therefore Jenny  is a bank teller is the more probable.,jenny_is_a_bank_teller,,,z,s
866785137,1/25/2016 16:57:07,1866624542,1/25/2016 16:53:02,False,zoombucks,0.2857,-8797201138324977260,CAN,BC,Kelowna,"Although Jenny may be involved in the feminist movement because she is involved in other causes, that description is too limiting and  so I think just labeling her a bank teller is more  probable.",jenny_is_a_bank_teller,,,z,s
866785137,1/25/2016 16:58:29,1866624999,1/25/2016 16:49:07,False,neodev,0.7143,-5845667505155594971,USA,UT,Providence,"she was deeply concerned with issues of discrimination and social justice.
It is the one most logical in terms of prayer described.",jenny_is_a_bank_teller_and_is_active_in_the_feminist_movement,,,z,s
