_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,what_is_the_rationale_for_your_choice,which_of_the_rules_do_you_find_as_more_plausible,what_is_the_rationale_for_your_choice_gold,which_of_the_rules_do_you_find_as_more_plausible_gold,x,y
874973377,2/4/2016 09:48:14,1880631352,2/4/2016 09:46:16,False,clixsense,1.0,-2888132286359829661,GBR,U8,Edinburgh,Because she was concerned with issues of discrimination and social justice when she was studying.,jenny_is_a_bank_teller,,,z,s
874973377,2/4/2016 09:52:08,1880633947,2/4/2016 09:50:52,False,neodev,1.0,4007929488489228996,GBR,C9,Workington,"The statement says  that Jenny was deeply concerned with social issues, therefore it is possible that she would be active in the feminist movement.",jenny_is_a_bank_teller,,,z,s
874973377,2/4/2016 10:02:58,1880642224,2/4/2016 10:01:13,False,clixsense,1.0,2076719452429030805,GBR,G9,Prescot,"I think , given her background, that she would be an activist and campaign for the rights of individuals and groups....",jenny_is_a_bank_teller,,,z,s
874973377,2/4/2016 10:09:49,1880647887,2/4/2016 10:08:55,False,prodege,1.0,932489054092844369,GBR,V8,Coatbridge,it is likely jenny continued her interest in political activity,jenny_is_a_bank_teller,,,z,s
874973377,2/4/2016 10:31:49,1880670251,2/4/2016 10:29:55,False,gifthunterclub,1.0,-5121831959577948960,GBR,J7,Harrogate,As she feels very strongly about moral issues and social justice this would lead me to believe she would have strong opinions about the role of women in society.,jenny_is_a_bank_teller,,,z,s
874973377,2/4/2016 10:35:24,1880673362,2/4/2016 10:31:23,False,instagc,1.0,-203679121474249812,USA,MI,Battle Creek,"Jenny has a history of  being concerned with issues of discrimination and social justice, and also participated in anti-nuclear demonstrations but there is nothing to indicate she has  demonstrated in  feminist demonstrations. So the sure bet would be that she is a bank teller unless stated otherwise.",jenny_is_a_bank_teller,,,z,s
874973377,2/4/2016 10:59:03,1880688860,2/4/2016 10:53:13,False,neodev,0.1429,-7496057440968827039,USA,NY,New York,"regardless of occupation, she participátes in anti - nuclear demonstration so you do not have the time to be active in the feminist movement",jenny_is_a_bank_teller_and_is_not_active_in_the_feminist_movement,,,z,s
874973377,2/4/2016 11:04:38,1880692408,2/4/2016 10:57:00,False,eup_slw,0.8571,6042609680694084963,GBR,H9,London,I chose 1) via a process of elimination. Given that she majored in philosophy she would have come into contact with books by women philosophers from the 20th century such as Simone de Beauvoir (a very famous philosopher who influenced a lot of feminists) and the fact that she was active and concerned with discrimination and social justice issues - number 2 is more unlikely than 1.,jenny_is_a_bank_teller,,,z,s
874973377,2/4/2016 11:08:30,1880695377,2/4/2016 10:54:20,False,clixsense,0.8889,-6564641101647959521,USA,HI,Honolulu,"Jenny is bright, single, out-spoken and very bright.  While attending college, she involved herself in issues surrounding discrimination, social justice and also took part in an anti-nuclear demonstration.  It's probable Jenny works as a bank teller and involved with the feminist movement on a grander scale.",jenny_is_a_bank_teller,,,z,s
874973377,2/4/2016 11:27:03,1880710987,2/4/2016 11:26:04,False,clixsense,0.9,-8002337551898357143,GBR,H3,Leeds,The other option stated she was unlikely to be involved in the feminist movement which contradicts the description of her.,jenny_is_a_bank_teller,,,z,s
874973377,2/4/2016 11:46:14,1880729410,2/4/2016 11:31:57,False,neodev,0.9,870502898390273446,USA,CA,San Jose,The reason for the choice is discard. If the Inca premise that when student Jenny was concerned about poroblemas of discrimination and social justice the 2nd rule that is not active in the feminist movimineto is unlikely even knowing that bothers jenny injustice. For that reason I choose option 1.,jenny_is_a_bank_teller,,,z,s
874973377,2/4/2016 12:33:33,1880767555,2/4/2016 12:29:58,False,neodev,0.9167,5769980367992755638,GBR,E6,Cirencester,"We are told that Jenny has been very active with issues of social justice and discrimination, even going as far as to protest these concerns. Her degree of choice has no particular bearing on being a bank teller, and there is no information to suggest any inclination towards such a job. Given the choice of options, however, outlining the same career, it seems more probable than not that she may've continued to be active in the feminist/social justice area.",jenny_is_a_bank_teller,,,z,s
874973377,2/4/2016 12:38:48,1880770965,2/4/2016 12:35:44,False,neodev,0.1538,-928503605239743124,GBR,,,Jenny because they have always been interested in women's rights,jenny_is_a_bank_teller_and_is_not_active_in_the_feminist_movement,,,z,s
874973377,2/4/2016 12:41:56,1880772848,2/4/2016 12:41:18,False,elite,0.2143,-253534005572811879,USA,NY,Rochester,,jenny_is_a_bank_teller_and_is_not_active_in_the_feminist_movement,,,z,s
874973377,2/4/2016 12:47:29,1880776308,2/4/2016 12:46:12,False,elite,0.8,-8334769672982769717,GBR,V2,Glasgow,"because she is in the feminist movement due to ""deeply concerned with issues of discrimination and social justice, and also participated in anti-nuclear demonstrations""",jenny_is_a_bank_teller,,,z,s
874973377,2/4/2016 12:49:19,1880777557,2/4/2016 12:48:57,False,elite,0.25,-1253538005562811791,USA,NY,Rochester,its better,jenny_is_a_bank_teller_and_is_not_active_in_the_feminist_movement,,,z,s
874973377,2/4/2016 13:05:59,1880788235,2/4/2016 13:03:54,False,zoombucks,0.2941,-6645301789682197859,CAN,ON,Markham,she is not discriminate,jenny_is_a_bank_teller_and_is_not_active_in_the_feminist_movement,,,z,s
874973377,2/4/2016 13:13:36,1880793283,2/4/2016 13:12:30,False,neodev,0.7059,8583702320250457467,GBR,I7,Newcastle Upon Tyne,She is active in the feminist movement.,jenny_is_a_bank_teller,,,z,s
874973377,2/4/2016 13:14:54,1880794041,2/4/2016 13:14:27,False,elite,0.3158,9196925273462636857,USA,NY,Rochester,better,jenny_is_a_bank_teller_and_is_not_active_in_the_feminist_movement,,,z,s
874973377,2/4/2016 13:18:32,1880796159,2/4/2016 13:15:20,False,prodege,0.7,3512264911078893249,USA,CA,San Diego,"The second statement was less probable because it stated she ""is not active in the feminist movement"" which is highly unlikely considering she is deeply concerned with social injustices.",jenny_is_a_bank_teller,,,z,s
874973377,2/4/2016 13:20:26,1880797487,2/4/2016 13:20:07,False,elite,0.3333,9196929273457636777,USA,NY,Rochester,i think its more relative,jenny_is_a_bank_teller_and_is_not_active_in_the_feminist_movement,,,z,s
874973377,2/4/2016 13:47:02,1880814910,2/4/2016 13:43:40,False,clixsense,0.6818,-354809268194166564,USA,NJ,Voorhees,"As a student, she was deeply concerned with issues of discrimination and social justice,SAYS IT ALL -SHE WAS CONCERNED with social justice and discrimination issues -very bright and outspoken--she is probably leading the charge.",jenny_is_a_bank_teller,,,z,s
874973377,2/4/2016 13:48:12,1880815687,2/4/2016 13:41:06,False,clixsense,0.6957,-8608807635120794393,GBR,,,"If Jenny isn't a bank teller then both Rules are false, if Jenny is a bank teller then Rule 1 is clearly true but Rule 2 may or may not be true, so Rule 1 is the more probable. Her status in the feminist movement cannot increase the likelihood of Rule 2 over Rule 1, it can only leave it unchanged or reduce it.",jenny_is_a_bank_teller,,,z,s
874973377,2/4/2016 13:49:25,1880816578,2/4/2016 13:46:08,False,instagc,0.7083,5542761812920831341,USA,TN,Kingston,"Given Jenny's past activist history, and her deep concern regarding discrimination and social justice, I would expect her to be an active feminist.",jenny_is_a_bank_teller,,,z,s
874973377,2/4/2016 13:54:10,1880819890,2/4/2016 13:52:25,False,prodege,0.72,-7124408582318116368,USA,MS,Tupelo,It says she is concerned with discrimination and social justice so I am going to assume that she may be an active participant in the feminist movement.,jenny_is_a_bank_teller,,,z,s
874973377,2/4/2016 13:54:15,1880819972,2/4/2016 13:51:28,False,prodege,0.72,6360284940176858586,USA,GA,Atlanta,"Bank teller is  relatively common profession and it's more likely that she meets one criterion than two, in terms of probability. The more characteristics you attach to the option, the narrower the pool - there are more bank tellers who are and are not involved in the feminist movement than just bank tellers who are NOT involved in the feminist movement. Therefore, it is more likely that she is a bank teller.",jenny_is_a_bank_teller,,,z,s
