_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_country,_region,_city,what_is_the_rationale_for_your_choice,which_of_the_rules_do_you_find_as_more_plausible,what_is_the_rationale_for_your_choice_gold,which_of_the_rules_do_you_find_as_more_plausible_gold,x,y
877194083,2/8/2016 19:21:56,1885458653,2/8/2016 19:21:11,False,zoombucks,1.0,CAN,ON,Markham,she is concerned with discrimnation,jenny_is_not_active_in_feminist_movement,,,z,s
877194083,2/8/2016 19:25:24,1885461951,2/8/2016 19:21:06,False,clixsense,0.3333,CAN,,,Jenny is intelligent so she would do well as a cashier in a bank.  During college she was concerned about discrimination and  active in some demonstrations so I would assume she would be active in feminist movements.,jenny_works_as__a_cashier_in_a_bank,,,z,s
877194083,2/8/2016 19:27:35,1885464160,2/8/2016 19:26:27,False,elite,0.5,USA,NY,Rochester,,jenny_is_not_active_in_feminist_movement,,,z,s
877194083,2/8/2016 19:28:38,1885465202,2/8/2016 19:26:31,False,neodev,0.5,GBR,M3,Bridgwater,Outspoken and very bright - ideal place in a bank :),jenny_works_as__a_cashier_in_a_bank,,,z,s
877194083,2/8/2016 19:44:07,1885482019,2/8/2016 19:43:45,False,elite,0.6,USA,NY,Rochester,its better,jenny_is_not_active_in_feminist_movement,,,z,s
877194083,2/8/2016 19:49:43,1885487345,2/8/2016 19:44:22,False,prodege,0.1667,CAN,AB,Saint Albert,It's more probable that she is a bank teller because she is outspoken and would probably enjoy interacting with the public on a daily basis. Although it is not know if she is active in the feminist movement it is possible that she is since she has been concerned with social justice and discrimination in the past.  Option 3 seems to fit Jenny better considering what we know about her.,jenny_is_a_bank_teller_and_it_is_not_known_if_she_is_active_in_feminist_movement,,,z,s
877194083,2/8/2016 19:54:26,1885492201,2/8/2016 19:54:12,False,elite,0.5714,USA,NY,Rochester,,jenny_is_not_active_in_feminist_movement,,,z,s
877194083,2/8/2016 19:57:08,1885494845,2/8/2016 19:48:37,False,clixsense,0.625,CAN,ON,Bowmanville,"With the data you've given me, I can't say that Jenny is anything.  She may be a bank teller, or she may be part of the feminists movement, or both , or neither is true.  She majored in Philosophy and it deeply concerned with those less fortunate.  Social justice could mean she is a feminists, or not, it's not enough to go on.  She is probably Liberal in her political views and Liberals can be turned off by more militant movements.  So, I'm going with she's not a bank teller, as there is no data pointing towards that, and she probably is not involved in the feminist movement, given her concern for others, not just women or girls.",jenny_is_not_active_in_feminist_movement,,,z,s
877194083,2/8/2016 20:01:09,1885499307,2/8/2016 20:00:51,False,elite,0.6667,USA,NY,Rochester,,jenny_is_not_active_in_feminist_movement,,,z,s
877194083,2/8/2016 20:03:55,1885502370,2/8/2016 20:03:48,False,elite,0.6364,USA,NY,Rochester,,jenny_is_not_active_in_feminist_movement,,,z,s
877194083,2/8/2016 20:04:40,1885503177,2/8/2016 20:00:07,False,prodege,0.1818,CAN,AB,Sherwood Park,"It might be assumed that Jenny is active in the feminist movement based on the information given about her. However, it is not known for sure that she is, so I chose the 3rd option.",jenny_is_a_bank_teller_and_it_is_not_known_if_she_is_active_in_feminist_movement,,,z,s
877194083,2/8/2016 20:15:37,1885515689,2/8/2016 20:12:26,False,neodev,0.25,GBR,E6,Cirencester,"It would seem unlikely, given her background, that Jenny is not active in the feminist movement. Her participation in demonstrations and the like also suggests that, if she was involved in social justice campaigns, it would be well publicised and known about (ruling out option 2). By default, therefore, the first option is most plausible.",jenny_works_as__a_cashier_in_a_bank,,,z,s
877194083,2/8/2016 20:29:31,1885533712,2/8/2016 20:28:32,False,neodev,0.2857,USA,FL,Fort Lauderdale,it  is more reasonable,jenny_works_as__a_cashier_in_a_bank,,,z,s
877194083,2/8/2016 20:31:28,1885536517,2/8/2016 20:28:18,False,neodev,0.2,CAN,BC,Burnaby,"Jenny probably has a good job, and it's reasonable that she may work in a bank.  She takes part in demonstrations and is concerned about discrimination issues, so she may be involved in a feminist  movement, but there is no information that would tell us either way, whether she was or wasn't.",jenny_is_a_bank_teller_and_it_is_not_known_if_she_is_active_in_feminist_movement,,,z,s
877194083,2/8/2016 20:32:42,1885538193,2/8/2016 20:17:38,False,cotter,0.5333,USA,AL,Talladega,"Nothing in the description of Jenny leads me to believe that she works as a bank teller, so I would not chose option 1 as more probable.  I would not chose option 3 because I do not know if Jenny works as a bank teller.  Option 2 is most probable because the description of Jenny does not say that she IS active in the feminist movement or any other social issue currently.   She was concerned about social injustice in college, but she may not even be concerned with these issues anymore.",jenny_is_not_active_in_feminist_movement,,,z,s
877194083,2/8/2016 20:34:49,1885540747,2/8/2016 20:34:10,False,neodev,0.25,CAN,BC,Vancouver,It's the most balanced statement.,jenny_is_a_bank_teller_and_it_is_not_known_if_she_is_active_in_feminist_movement,,,z,s
877194083,2/8/2016 20:47:26,1885555137,2/8/2016 20:32:20,False,clixsense,0.5294,GBR,,,"From a purely probabilistic point of view, a ""random person"" doing something specific (bank teller/cashier) is a lot less likely to be true than the same person not doing something specific (not active in feminist movement). So that makes (2) most probable. Also, a bright person,  who majored in philosophy as a student, is likely over-qualified to work as a bank teller/cashier, whereas students who were active in social causes at university often stop such activities when they leave, so it would be likely that she is no longer active in the feminist movement at the age 32, again making (2) the most probable.",jenny_is_not_active_in_feminist_movement,,,z,s
877194083,2/8/2016 20:56:59,1885565599,2/8/2016 20:30:58,False,instagc,0.2778,USA,MA,Brookline,Jenny can be a bank teller and still be active in the feminist movement. She can also not be involved. One is not dependent upon the other. Her job does not require her to be involved or not be involved.,jenny_is_a_bank_teller_and_it_is_not_known_if_she_is_active_in_feminist_movement,,,z,s
877194083,2/8/2016 21:00:23,1885569747,2/8/2016 20:50:48,False,clixsense,0.3158,CAN,ON,Ottawa,"It is clear from the information that Jenny was once significantly involved in the protest movement and that she had a strong interest in social justice. The fact that she works as a bank teller does not necessarily indicate that she is not still interested in social justice. It is therefore probable that she works in a bank.

Being active in a movement suggests that somebody may undertake actions such as protests. Jenny's history indicates that she took part in anti-nuclear demonstrations, but mentions nothing about taking part in demonstrations around social justice.

Just because Jenny is interested in discrimination and social justice it does not mean that she speaks vocally about it. The fact that she works in a bank may be a reason why she is not more vocal about her thoughts. Even though the description describes her as outspoken, it does not necessarily translate that she mentions her social justice interests to everyone. It is therefore likely that most people would not know whether or not she is active in the feminist movement.

All of these lead me to believe that option 3 is most probable.",jenny_is_a_bank_teller_and_it_is_not_known_if_she_is_active_in_feminist_movement,,,z,s
877194083,2/8/2016 21:17:37,1885597230,2/8/2016 21:13:09,False,neodev,0.5,USA,CA,San Jose,por que jenny esta en contra de la descriminacion y justicia social,jenny_is_not_active_in_feminist_movement,,,z,s
877194083,2/8/2016 21:19:45,1885602482,2/8/2016 21:19:08,False,neodev,0.3333,GBR,,,jenni its fitching,jenny_is_a_bank_teller_and_it_is_not_known_if_she_is_active_in_feminist_movement,,,z,s
877194083,2/8/2016 21:31:40,1885618852,2/8/2016 21:25:48,False,neodev,0.3913,USA,NY,New York,I think it was not a feminist because I was deeply concerned with issues of discrimination and social justice,jenny_is_a_bank_teller_and_it_is_not_known_if_she_is_active_in_feminist_movement,,,z,s
877194083,2/8/2016 21:33:19,1885620897,2/8/2016 21:29:56,False,instagc,0.3913,GBR,H9,London,"I decided it was unlikely to be the second choice, as Jenny has a background that suggests that she would be active in the feminist movement.  However it was difficult to choose between choices 1 and 3, as both are essentially the same - both state that Jenny is a cashier or teller in a bank, and both say that her status in the feminist movement is unknown, 1 by not mentioning it at all, and 3 by explicitly stating that it is unknown.  I therefore chose statement 3 as it is the clearest.",jenny_is_a_bank_teller_and_it_is_not_known_if_she_is_active_in_feminist_movement,,,z,s
877194083,2/8/2016 21:37:24,1885626128,2/8/2016 21:28:03,False,clixsense,0.2083,CAN,BC,Hope,"I ruled out numbers 2 and 3 based on Jenny's deep concern for discrimination and social injustices during her student years. In my opinion, these types of concerns would not end when she graduated and so the probability that  that she is active in the feminist movement, outweighs the probability that she isn't.  Therefore number one would be the most probable.",jenny_works_as__a_cashier_in_a_bank,,,z,s
877194083,2/8/2016 21:40:24,1885630045,2/8/2016 21:36:22,False,zoombucks,0.4286,CAN,BC,Kelowna,"Although she has a history of interest that could make her involved in the feminist movement, people change all the time and go through many phases in their lives, so I do not feel strongly enough to say that is more probable.",jenny_is_a_bank_teller_and_it_is_not_known_if_she_is_active_in_feminist_movement,,,z,s
877194083,2/8/2016 21:41:02,1885630915,2/8/2016 21:32:58,False,elite,0.3929,GBR,,,"Dealing with discrimination and social justice issues, also have anti-nuclear activists, are very active in the absence of a motion it does not indicate that she was a feminist.
Therefore, the correct option 2",jenny_is_not_active_in_feminist_movement,,,z,s
877194083,2/8/2016 21:41:45,1885631982,2/8/2016 21:41:04,False,neodev,0.4286,USA,CA,San Jose,she is fitching,jenny_is_a_bank_teller_and_it_is_not_known_if_she_is_active_in_feminist_movement,,,z,s
877194083,2/8/2016 21:42:02,1885632392,2/8/2016 21:40:48,False,instagc,0.4286,USA,MN,Minneapolis,"bank teller is a pretty likely job for philosophy majors who don't go to grad school, and there is no information available about whether or not she's a feminist.",jenny_is_a_bank_teller_and_it_is_not_known_if_she_is_active_in_feminist_movement,,,z,s
877194083,2/8/2016 21:49:12,1885641931,2/8/2016 21:42:03,False,bitcoinget,0.4138,USA,CA,San Francisco,bank teller jobs are low wage jobs for people with very little education and makes no impact on social issues. A highly educated liberal would be very bored in such a job.,jenny_is_not_active_in_feminist_movement,,,z,s
877194083,2/8/2016 21:52:15,1885646412,2/8/2016 21:51:11,False,neodev,0.4516,USA,CA,San Jose,,jenny_is_a_bank_teller_and_it_is_not_known_if_she_is_active_in_feminist_movement,,,z,s
877194083,2/8/2016 21:53:57,1885648650,2/8/2016 21:53:40,False,neodev,0.4516,USA,,,,jenny_is_a_bank_teller_and_it_is_not_known_if_she_is_active_in_feminist_movement,,,z,s
877194083,2/8/2016 21:55:53,1885651136,2/8/2016 21:53:14,False,bitcoinget,0.3939,USA,WA,Port Angeles,The other two options declare that she works at a bank. We don't know that. This statement is more probable.,jenny_is_not_active_in_feminist_movement,,,z,s
877194083,2/8/2016 21:56:41,1885652235,2/8/2016 21:55:56,False,neodev,0.4545,USA,,,,jenny_is_a_bank_teller_and_it_is_not_known_if_she_is_active_in_feminist_movement,,,z,s
877194083,2/8/2016 22:09:14,1885668067,2/8/2016 22:07:46,False,neodev,0.1714,USA,CT,West Haven,because there is no option for feminist movement as she is very concerned about social issues,jenny_works_as__a_cashier_in_a_bank,,,z,s
877194083,2/8/2016 22:11:17,1885670657,2/8/2016 22:09:21,False,clixsense,0.4571,GBR,,,"None of these is particularly probable; I wouldn't expect her to work in a bank at all, but if she did, I would expect her to be at a managerial level, not just a cashier. It seems unlikely that she wouldn't be involved in the deminist movement given her history and personality.",jenny_is_a_bank_teller_and_it_is_not_known_if_she_is_active_in_feminist_movement,,,z,s
877194083,2/8/2016 22:17:45,1885678959,2/8/2016 21:49:10,False,neodev,0.4722,CAN,BC,Port Coquitlam,"Most young people of college age become involved in a cause. They are young, probably for the first time they are away from the security of family and friends and they are learning all about the bad things life has to offer. Things like inequality,discrimination and of course the possibility of nuclear war.
Most are genuinely concerned and feel the need to protest and/or do whatever they can to make the world a better place.

Now Jenny is 32.  She is probably dating and her life is beginning to turn to family,friends and the security of her job. He cause today is more in line with whether she will get the next promotion and whether she is REALLY ready to settle down and start her own family.

The causes of yesterday are not completely gone. She still believes as she did during her college years but she is no longer actively participating.

For these reasons I believe she is working as a teller and it is not known if she is active in the feminist movement.",jenny_is_a_bank_teller_and_it_is_not_known_if_she_is_active_in_feminist_movement,,,z,s
877194083,2/8/2016 22:42:44,1885708362,2/8/2016 22:35:33,False,elite,0.4865,GBR,H9,London,Out of the three this is the most likely she might well be active in a feminist movement given her background. She could be a bank cashier and if she is she may well not want it to be known that she is active in a feminist movement. To me this makes the third option more likely the reality is that she is likely to be active in a feminist movement or at least an activist in another organisation.  she is unlikely to have left her past completely behind.,jenny_is_a_bank_teller_and_it_is_not_known_if_she_is_active_in_feminist_movement,,,z,s
877194083,2/8/2016 23:11:32,1885736332,2/8/2016 23:07:08,False,neodev,0.359,GBR,H8,Liverpool,"Although the statement tells us that Jenny was concerned with issues of discrimination, it does not state that she is now active in the feminist movement.  Nor does it state that Jenny works in a bank.  Therefore the only conclusion using the information we have been given is the second option.",jenny_is_not_active_in_feminist_movement,,,z,s
877194083,2/8/2016 23:14:46,1885739246,2/8/2016 23:12:56,False,zoombucks,0.4634,CAN,ON,North Bay,"Although she was active in several areas as a student, it's not known if she still takes part in them.   Therefore the last option is the most viable.",jenny_is_a_bank_teller_and_it_is_not_known_if_she_is_active_in_feminist_movement,,,z,s
877194083,2/8/2016 23:17:55,1885742345,2/8/2016 23:13:14,False,clixsense,0.1707,GBR,G6,Hull,"In the view of jenny's commitment to social justice and discrimination and being known for being outspoken, it is unlikely her views would not be made known or that she would not be active in issues relating to gender discrimination.",jenny_works_as__a_cashier_in_a_bank,,,z,s
877194083,2/8/2016 23:18:12,1885742578,2/8/2016 23:08:09,False,neodev,0.3659,USA,VA,Manassas,evidenced by the claim that it can not be a bank teller because it has a major in philosophy and social concerns are evident as a student.,jenny_is_not_active_in_feminist_movement,,,z,s
877194083,2/8/2016 23:26:28,1885750152,2/8/2016 23:25:59,False,instagc,0.4762,USA,PA,Ford City,"Does it matter what shes a part of? No, quit being judgemental people!",jenny_is_a_bank_teller_and_it_is_not_known_if_she_is_active_in_feminist_movement,,,z,s
877194083,2/8/2016 23:50:35,1885768493,2/8/2016 23:40:35,False,elite,0.4884,USA,FL,Tampa,she has participated in demonstrations but not actively,jenny_is_a_bank_teller_and_it_is_not_known_if_she_is_active_in_feminist_movement,,,z,s
877194083,2/9/2016 00:06:07,1885780895,2/9/2016 00:04:40,False,instagc,0.3636,GBR,O1,Ashton-under-lyne,"Based on something she did over 10 years ago, it isn't possible to tell whether or not she is  active in the feminist movement or not. It is impossible to tell what her career is from this however, so the second option seemed the most logical.",jenny_is_not_active_in_feminist_movement,,,z,s
877194083,2/9/2016 00:12:53,1885786354,2/8/2016 23:57:24,False,clixsense,0.4889,CAN,,,"If Jenny was concerned about social issues and issues of discrimination, it is very likely she would be active in issues concerning women and the rights of women.  She is probably a social activist.  She probably holds rallies and marches for various issues concerning woman.  For instance, she may set up a march for the rights of women to receive the same pay as men.  She may organize rallies for woman that are discriminated against because of race.  However with Jenny's education in philosophy I highly doubt she would be a bank teller, but there wasn't much to choose from so I picked the third choice since it had something to do with her philosophy in life.  She would be the type that would want to make the world a better place for women as well as other causes.",jenny_is_a_bank_teller_and_it_is_not_known_if_she_is_active_in_feminist_movement,,,z,s
877194083,2/9/2016 01:06:43,1885835924,2/9/2016 01:04:56,False,clixsense,0.3696,GBR,M5,Southend-on-sea,"the chances of someone being a cashier or teller is much less than someone NOT being a feminist, so 2 is only possible answer.",jenny_is_not_active_in_feminist_movement,,,z,s
877194083,2/9/2016 01:40:32,1885880338,2/9/2016 01:38:51,False,prodege,0.1702,USA,CA,San Diego,She cannot be the other descriptions because she is very vocal and concerned with social issues and those refute these characteristics.,jenny_works_as__a_cashier_in_a_bank,,,z,s
