"uri","friendly","rating"
"https://en.wikipedia.org/wiki/Category:African_Union_member_economies","AfricanUnionMemberEconomies",-0.2
"https://en.wikipedia.org/wiki/Category:Arabic-speaking_countries_and_territories","ArabicspeakingCountriesAndTerritories",0.0
"https://en.wikipedia.org/wiki/Category:Areas_of_traditional_spread_of_Ukrainians_and_Ukrainian_language","AreasOfTraditionalSpreadOfUkrainiansAndUkrainianLanguage",-0.4
"https://en.wikipedia.org/wiki/Category:Baltic_states","BalticStates",0.0
"https://en.wikipedia.org/wiki/Category:Bantu_countries_and_territories","BantuCountriesAndTerritories",-0.2
"https://en.wikipedia.org/wiki/Category:Developing_8_Countries_member_states","Developing8CountriesMemberStates",0.2
"https://en.wikipedia.org/wiki/Category:Divided_regions","DividedRegions",0.0
"https://en.wikipedia.org/wiki/Category:English-speaking_countries_and_territories","EnglishspeakingCountriesAndTerritories",0.0
"https://en.wikipedia.org/wiki/Category:European_Union_member_economies","EuropeanUnionMemberEconomies",0.4
"https://en.wikipedia.org/wiki/Category:Federal_countries","FederalCountries",0.0
"https://en.wikipedia.org/wiki/Category:Islamic_states","IslamicStates",0.6
"https://en.wikipedia.org/wiki/Category:Island_countries","IslandCountries",0.0
"https://en.wikipedia.org/wiki/Category:Islands_of_the_Indian_Ocean","IslandsOfTheIndianOcean",-0.4
"https://en.wikipedia.org/wiki/Category:Landlocked_countries","LandlockedCountries",0.0
"https://en.wikipedia.org/wiki/Category:Least_developed_countries","LeastDevelopedCountries",-0.4
"https://en.wikipedia.org/wiki/Category:Malay-speaking_countries_and_territories","MalayspeakingCountriesAndTerritories",0.2
"https://en.wikipedia.org/wiki/Category:Member_states_of_La_Francophonie","MemberStatesOfLaFrancophonie",0.0
"https://en.wikipedia.org/wiki/Category:Member_states_of_Mercosur","MemberStatesOfMercosur",0.0
"https://en.wikipedia.org/wiki/Category:Member_states_of_NATO","MemberStatesOfNATO",0.0
"https://en.wikipedia.org/wiki/Category:Member_states_of_OPEC","MemberStatesOfOPEC",-0.2
"https://en.wikipedia.org/wiki/Category:Member_states_of_the_African_Union","MemberStatesOfTheAfricanUnion",0.4
"https://en.wikipedia.org/wiki/Category:Member_states_of_the_Arab_League","MemberStatesOfTheArabLeague",0.4
"https://en.wikipedia.org/wiki/Category:Member_states_of_the_Association_of_Southeast_Asian_Nations","MemberStatesOfTheAssociationOfSoutheastAsianNations",0.0
"https://en.wikipedia.org/wiki/Category:Member_states_of_the_Commonwealth_of_Nations","MemberStatesOfTheCommonwealthOfNations",0.0
"https://en.wikipedia.org/wiki/Category:Member_states_of_the_Community_of_Portuguese_Language_Countries","MemberStatesOfTheCommunityOfPortugueseLanguageCountries",0.2
"https://en.wikipedia.org/wiki/Category:Member_states_of_the_Cooperation_Council_for_the_Arab_States_of_the_Gulf","MemberStatesOfTheCooperationCouncilForTheArabStatesOfTheGulf",0.0
"https://en.wikipedia.org/wiki/Category:Member_states_of_the_Council_of_Europe","MemberStatesOfTheCouncilOfEurope",-0.2
"https://en.wikipedia.org/wiki/Category:Member_states_of_the_European_Union","MemberStatesOfTheEuropeanUnion",-0.2
"https://en.wikipedia.org/wiki/Category:Member_states_of_the_Organisation_of_Islamic_Cooperation","MemberStatesOfTheOrganisationOfIslamicCooperation",-0.4
"https://en.wikipedia.org/wiki/Category:Member_states_of_the_South_Asian_Association_for_Regional_Cooperation","MemberStatesOfTheSouthAsianAssociationForRegionalCooperation",-0.4
"https://en.wikipedia.org/wiki/Category:Member_states_of_the_Union_for_the_Mediterranean","MemberStatesOfTheUnionForTheMediterranean",0.4
"https://en.wikipedia.org/wiki/Category:Member_states_of_the_United_Nations","MemberStatesOfTheUnitedNations",0.0
"https://en.wikipedia.org/wiki/Category:Middle_Eastern_countries","MiddleEasternCountries",0.2
"https://en.wikipedia.org/wiki/Category:NUTS_2_statistical_regions_of_the_European_Union","NUTS2StatisticalRegionsOfTheEuropeanUnion",0.4
"https://en.wikipedia.org/wiki/Category:Socialist_states","SocialistStates",-0.2
"https://en.wikipedia.org/wiki/Category:South_Asian_countries","SouthAsianCountries",0.8
"https://en.wikipedia.org/wiki/Category:Southeast_Asian_countries","SoutheastAsianCountries",0.4
"https://en.wikipedia.org/wiki/Category:States_and_territories_established_in_1830","StatesAndTerritoriesEstablishedIn1830",0.0
"https://en.wikipedia.org/wiki/Category:States_and_territories_established_in_1918","StatesAndTerritoriesEstablishedIn1918",0.2
"https://en.wikipedia.org/wiki/Category:States_and_territories_established_in_1932","StatesAndTerritoriesEstablishedIn1932",0.0
"https://en.wikipedia.org/wiki/Category:States_and_territories_established_in_1947","StatesAndTerritoriesEstablishedIn1947",0.0
"https://en.wikipedia.org/wiki/Category:States_and_territories_established_in_1956","StatesAndTerritoriesEstablishedIn1956",0.0
"https://en.wikipedia.org/wiki/Category:States_and_territories_established_in_1960","StatesAndTerritoriesEstablishedIn1960",0.0
"https://en.wikipedia.org/wiki/Category:States_and_territories_established_in_1962","StatesAndTerritoriesEstablishedIn1962",0.0
"https://en.wikipedia.org/wiki/Category:States_and_territories_established_in_1963","StatesAndTerritoriesEstablishedIn1963",-0.2
"https://en.wikipedia.org/wiki/Category:States_and_territories_established_in_1966","StatesAndTerritoriesEstablishedIn1966",0.0
"https://en.wikipedia.org/wiki/Category:States_and_territories_established_in_1971","StatesAndTerritoriesEstablishedIn1971",-0.2
"https://en.wikipedia.org/wiki/Category:States_and_territories_established_in_1975","StatesAndTerritoriesEstablishedIn1975",0.2
"https://en.wikipedia.org/wiki/Category:States_and_territories_established_in_1981","StatesAndTerritoriesEstablishedIn1981",0.0
"https://en.wikipedia.org/wiki/Category:States_and_territories_established_in_1991","StatesAndTerritoriesEstablishedIn1991",0.2
"https://en.wikipedia.org/wiki/Category:Swahili-speaking_countries_and_territories","SwahilispeakingCountriesAndTerritories",0.6
"https://en.wikipedia.org/wiki/Category:Ukrainian-speaking_countries_and_territories","UkrainianspeakingCountriesAndTerritories",-0.4
"https://en.wikipedia.org/wiki/Category:Western_Asian_countries","WesternAsianCountries",0.4
"https://en.wikipedia.org/wiki/Category:World_Trade_Organization_member_economies","WorldTradeOrganizationMemberEconomies",-0.2
