_unit_id,_created_at,_updated_at,_golden,cluer1,cluer2,correctlyclassifiedoverlap,coverageoverlap,id,intersectionwholerule,label,literalintersectionlength,r1,r1conf,r1correct,r1coverage,r1id,r1len,r1supp,r2,r2conf,r2correct,r2coverage,r2id,r2len,r2supp,tag,which_of_the_rules_do_you_find_as_more_plausible_gold,which_of_the_rules_do_you_find_as_more_plausible_gold_reason,what_is_the_rationale_for_your_choice_gold,what_is_the_rationale_for_your_choice_gold_reason,which_of_the_rules_do_you_find_as_more_plausible_gold,which_of_the_rules_do_you_find_as_more_plausible_gold_reason
879936404,2/11/2016 10:09:58,2/15/2016 07:26:48,TRUE,,,,,1,,e,,if the mushroom has the following properties (simultaneously) <ul><li>mushroom <i>does not have odour</i>&nbsp;<b>and</b> </li><li>gill color is <i>pink</i>&nbsp;</li></ul>then the mushroom is edible<b></b>,,,,,,,if the mushroom has the following properties (simultaneously) <ul><li>gill color is <i>pink</i>&nbsp;<b>and</b> </li><li>mushroom <i>does not have odour</i>&nbsp;</li></ul>then the mushroom is edible<b></b>,,,,,,,TEST,no_preference,"The rules are identical, only the conditions (groups) are listed in different order.",,"",no_preference,"The rules are identical, only the conditions (groups) are listed in different order."
879936405,2/11/2016 10:09:58,2/15/2016 06:21:59,TRUE,,,,,2,,e,,if the mushroom has the following properties (simultaneously) <ul><li>gill size is <i>broad</i>&nbsp;<b>and</b> </li><li>stalk surface above ring is <i>smooth</i>&nbsp;<b>and</b> </li><li>mushroom <i>does not have odour</i>&nbsp;<b>and</b> </li><li>mushroom <i>does not have bruises</i>&nbsp;</li></ul>then the mushroom is edible<b></b>,,,,,,,if the mushroom has the following properties (simultaneously) <ul><li>stalk surface above ring is <i>smooth</i>&nbsp;<b>and</b> </li><li>gill size is <i>broad</i>&nbsp;<b>and</b> </li><li>mushroom <i>does not have odour</i>&nbsp;<b>and</b> </li><li>mushroom <i>does not have bruises</i>&nbsp;</li></ul>then the mushroom is edible<b></b>,,,,,,,TEST,no_preference,"The rules are identical, only the conditions (groups) are listed in different order.",,"",no_preference,"The rules are identical, only the conditions (groups) are listed in different order."
879936406,2/11/2016 10:09:58,2/15/2016 06:21:59,TRUE,,,,,3,,p,,if the mushroom has the following properties (simultaneously) <ul><li>veil color is <i>white</i>&nbsp;<b>and</b> </li><li>gill spacing is <i>close</i>&nbsp;<b>and</b> </li><li>mushroom <i>does not have bruises</i>&nbsp;<b>and</b> </li><li>mushroom has one ring</i>&nbsp;<b>and</b> </li><li>odour is <i>foul</i>&nbsp;</li></ul>then the mushroom is poisonous<b></b>,,,,,,,if the mushroom has the following properties (simultaneously) <ul><li>mushroom has one ring</i>&nbsp;<b>and</b> </li><li>gill spacing is <i>close</i>&nbsp;<b>and</b> </li><li>mushroom <i>does not have bruises</i>&nbsp;<b>and</b> </li><li>veil color is <i>white</i>&nbsp;<b>and</b> </li><li>odour is <i>foul</i>&nbsp;</li></ul>then the mushroom is poisonous<b></b>,,,,,,,TEST,no_preference,"The rules are identical, only the conditions (groups) are listed in different order.",,"",no_preference,"The rules are identical, only the conditions (groups) are listed in different order."
879936407,2/11/2016 10:09:58,2/15/2016 07:26:48,TRUE,,,,,4,,e,,if the mushroom has the following properties (simultaneously) <ul><li>gill size is <i>broad</i>&nbsp;<b>and</b> </li><li>stalk surface above ring is <i>smooth</i>&nbsp;<b>and</b> </li><li>mushroom <i>does not have odour</i>&nbsp;<b>and</b> </li><li>cap surface is <i>fibrous</i>&nbsp;</li></ul>then the mushroom is edible<b></b>,,,,,,,if the mushroom has the following properties (simultaneously) <ul><li>gill size is <i>broad</i>&nbsp;<b>and</b> </li><li>cap surface is <i>fibrous</i>&nbsp;<b>and</b> </li><li>mushroom <i>does not have odour</i>&nbsp;<b>and</b> </li><li>stalk surface above ring is <i>smooth</i>&nbsp;</li></ul>then the mushroom is edible<b></b>,,,,,,,TEST,no_preference,"The rules are identical, only the conditions (groups) are listed in different order.",,"",no_preference,"The rules are identical, only the conditions (groups) are listed in different order."
879936408,2/11/2016 10:09:58,2/15/2016 07:26:48,TRUE,,,,,5,,e,,if the mushroom has the following properties (simultaneously) <ul><li>mushroom <i>does not have odour</i>&nbsp;<b>and</b> </li><li>population is <i>scattered</i>&nbsp;</li></ul>then the mushroom is edible<b></b>,,,,,,,if the mushroom has the following properties (simultaneously) <ul><li>population is <i>scattered</i>&nbsp;<b>and</b> </li><li>mushroom <i>does not have odour</i>&nbsp;</li></ul>then the mushroom is edible<b></b>,,,,,,,TEST,no_preference,"The rules are identical, only the conditions (groups) are listed in different order.",,"",no_preference,"The rules are identical, only the conditions (groups) are listed in different order."
879936409,2/11/2016 10:09:58,2/15/2016 07:26:48,TRUE,,,,,6,,e,,if the mushroom has the following properties (simultaneously) <ul><li>gill size is <i>broad</i>&nbsp;<b>and</b> </li><li>mushroom <i>does not have odour</i>&nbsp;<b>and</b> </li><li>cap shape is <i>convex</i>&nbsp;</li></ul>then the mushroom is edible<b></b>,,,,,,,if the mushroom has the following properties (simultaneously) <ul><li>cap shape is <i>convex</i>&nbsp;<b>and</b> </li><li>mushroom <i>does not have odour</i>&nbsp;<b>and</b> </li><li>gill size is <i>broad</i>&nbsp;</li></ul>then the mushroom is edible<b></b>,,,,,,,TEST,no_preference,"The rules are identical, only the conditions (groups) are listed in different order.",,"",no_preference,"The rules are identical, only the conditions (groups) are listed in different order."
879936410,2/11/2016 10:09:58,2/15/2016 07:26:48,TRUE,,,,,7,,e,,if the mushroom has the following properties (simultaneously) <ul><li>mushroom <i>does not have odour</i>&nbsp;<b>and</b> </li><li>gill size is <i>broad</i>&nbsp;<b>and</b> </li><li>cap shape is <i>convex</i>&nbsp;</li></ul>then the mushroom is edible<b></b>,,,,,,,if the mushroom has the following properties (simultaneously) <ul><li>gill size is <i>broad</i>&nbsp;<b>and</b> </li><li>mushroom <i>does not have odour</i>&nbsp;<b>and</b> </li><li>cap shape is <i>convex</i>&nbsp;</li></ul>then the mushroom is edible<b></b>,,,,,,,TEST,no_preference,"The rules are identical, only the conditions (groups) are listed in different order.",,"",no_preference,"The rules are identical, only the conditions (groups) are listed in different order."
879936411,2/11/2016 10:09:58,2/15/2016 07:28:21,TRUE,,,,,8,,p,,if the mushroom has the following properties (simultaneously) <ul><li>spore print color is <i>white</i>&nbsp;<b>and</b> </li><li>mushroom has <i>one ring</i>&nbsp;<b>and</b> </li><li>mushroom <i>does not have bruises</i>&nbsp;<b>and</b> </li><li>gills are <i>free</i>&nbsp;</li></ul>then the mushroom is poisonous<b></b>,,,,,,,if the mushroom has the following properties (simultaneously) <ul><li>gills are <i>free</i>&nbsp;<b>and</b> </li><li>mushroom has <i>one ring</i>&nbsp;<b>and</b> </li><li>mushroom <i>does not have bruises</i>&nbsp;<b>and</b> </li><li>spore print color is <i>white</i>&nbsp;</li></ul>then the mushroom is poisonous<b></b>,,,,,,,TEST,no_preference,"The rules are identical, only the conditions (groups) are listed in different order.",,"",no_preference,"The rules are identical, only the conditions (groups) are listed in different order."
879936525,2/11/2016 10:12:02,2/13/2016 09:41:28,,,,,,21,,e,,if the mushroom has the following properties (simultaneously) <ul><li>gill size is <i>broad</i>&nbsp;<b>and</b> </li><li>stalk surface above ring is <i>smooth</i>&nbsp;<b>and</b> </li><li>mushroom has <i>one ring</i>&nbsp;<b>and</b> </li><li>spore print color is <i>brown</i>&nbsp;</li></ul>then the mushroom is edible<b></b>,1,,,25541,4,,if the mushroom has the following properties (simultaneously) <ul><li>odour is <i>anise</i>&nbsp;</li></ul>then the mushroom is edible<b></b>,1,,,24585,1,,dfInvertedHeuristicsThreeDiffInRuleLen,,,,,,
879936526,2/11/2016 10:12:02,2/13/2016 09:41:28,,,,,,23,,e,,if the mushroom has the following properties (simultaneously) <ul><li>mushroom <i>does not have odour</i>&nbsp;<b>and</b> </li><li>mushroom has <i>one ring</i>&nbsp;<b>and</b> </li><li>stalk surface above ring is <i>smooth</i>&nbsp;<b>and</b> </li><li>cap shape is <i>convex</i>&nbsp;</li></ul>then the mushroom is edible<b></b>,1,,,53701,4,,if the mushroom has the following properties (simultaneously) <ul><li>mushroom <i>does not have odour</i>&nbsp;<b>and</b> </li><li>stalk surface below ring is <i>fibrous</i>&nbsp;</li></ul>then the mushroom is edible<b></b>,1,,,10643,2,,dfInvertedHeuristicsTwoDiffInRuleLen,,,,,,
