_unit_id,_created_at,_updated_at,_golden,cluer1,cluer2,correctlyclassifiedoverlap,coverageoverlap,id,intersectionwholerule,label,literalintersectionlength,r1,r1conf,r1correct,r1coverage,r1id,r1len,r1supp,r2,r2conf,r2correct,r2coverage,r2id,r2len,r2supp,tag,which_of_the_rules_do_you_find_as_more_plausible_gold,which_of_the_rules_do_you_find_as_more_plausible_gold_reason,what_is_the_rationale_for_your_choice_gold,what_is_the_rationale_for_your_choice_gold_reason,which_of_the_rules_do_you_find_as_more_plausible_gold,which_of_the_rules_do_you_find_as_more_plausible_gold_reason
815373509,10/26/2015 15:06:11,12/4/2015 08:15:56,TRUE,"Following countries fall into all of the groups defined by the rule: <b>Indonesia, Malaysia</b><br/> All these countries have a risk of traffic accidents <b>high</b>","Following countries fall into all of the groups defined by the rule: <b>Indonesia, Malaysia</b><br/> All these countries have a risk of traffic accidents <b>high</b>",,,1,,high,,if the country falls into all of the following group(s) (simultaneously) <ul><li>Member States Of The United Nations&nbsp;<b>and</b> </li><li>Southeast Asian Countries&nbsp;<b>and</b> </li><li>Member States Of The Organisation Of Islamic Cooperation&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>,,,,,,,if the country falls into all of the following group(s) (simultaneously) <ul><li>Southeast Asian Countries&nbsp;<b>and</b> </li><li>Member States Of The United Nations&nbsp;<b>and</b> </li><li>Member States Of The Organisation Of Islamic Cooperation&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>,,,,,,,TEST,No preference,"The rules are identical, only the conditions (groups) are listed in different order.",,,No preference,"The rules are identical, only the conditions (groups) are listed in different order."
815373510,10/26/2015 15:06:11,12/4/2015 08:15:56,TRUE,"Following countries fall into all of the groups defined by the rule: <b>Benin, Burkina Faso, Cameroon, Central African Republic, Gabon, GuineaBissau, Madagascar, Mali, Mauritania, Mauritius, Senegal, Togo, Tunisia </b><br/>For 11 of these countries (Benin, Burkina Faso, Cameroon, Gabon, GuineaBissau, Madagascar, Mali, Mauritania, Senegal, Togo, Tunisia), the rule correctly predicts the rate of traffic accidents as <b>high</b>.","Following countries fall into all of the groups defined by the rule: <b>Burundi, Comoros, Equatorial Guinea, Gabon </b><br/>For 3 of these countries (Burundi, Comoros, Gabon), the rule correctly predicts the rate of traffic accidents as <b>high</b>.",,,2,,high,,if the country falls into all of the following group(s) (simultaneously) <ul><li>Member States Of La Francophonie&nbsp;<b>and</b> </li><li>World Trade Organization Member Economies&nbsp;<b>and</b> </li><li>Member States Of The African Union&nbsp;<b>and</b> </li><li>African Union Member Economies&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>,,,,,,,if the country falls into all of the following group(s) (simultaneously) <ul><li>World Trade Organization Member Economies&nbsp;<b>and</b> </li><li>Member States Of La Francophonie&nbsp;<b>and</b> </li><li>Member States Of The African Union&nbsp;<b>and</b> </li><li>African Union Member Economies&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>,,,,,,,TEST,No preference,"The rules are identical, only the conditions (groups) are listed in different order.",,,No preference,"The rules are identical, only the conditions (groups) are listed in different order."
815373511,10/26/2015 15:06:11,12/4/2015 02:40:50,TRUE,"Following countries fall into all of the groups defined by the rule: <b>Burundi, Comoros, Kenya, Mozambique, Rwanda, Uganda</b><br/> All these countries have a risk of traffic accidents <b>high</b>","Following countries fall into all of the groups defined by the rule: <b>Comoros, Mauritania, Sudan</b><br/> All these countries have a risk of traffic accidents <b>high</b>",,,3,,high,,if the country falls into all of the following group(s) (simultaneously) <ul><li>Swahilispeaking Countries And Territories&nbsp;<b>and</b> </li><li>Member States Of The United Nations&nbsp;<b>and</b> </li><li>African Union Member Economies&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>,,,,,,,if the country falls into all of the following group(s) (simultaneously) <ul><li>Member States Of The United Nations&nbsp;<b>and</b> </li><li>Swahilispeaking Countries And Territories&nbsp;<b>and</b> </li><li>African Union Member Economies&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>,,,,,,,TEST,No preference,"The rules are identical, only the conditions (groups) are listed in different order.",,,No preference,"The rules are identical, only the conditions (groups) are listed in different order."
815373512,10/26/2015 15:06:11,12/2/2015 18:57:10,TRUE,"Following countries fall into all of the groups defined by the rule: <b>Mozambique, Rwanda, Uganda</b><br/> All these countries have a risk of traffic accidents <b>high</b>","Following countries fall into all of the groups defined by the rule: <b>Afghanistan, Armenia, Austria, Azerbaijan, Belarus, Bhutan, Bolivia, Botswana, Burkina Faso, Burundi, Central African Republic, Czech Republic, Ethiopia, Hungary, Kazakhstan, Lesotho, Luxembourg, Malawi, Mali, Mongolia, Nepal, Niger, Paraguay, Moldova, Rwanda, San Marino, Serbia, Swaziland, Switzerland, Tajikistan, Uganda </b><br/>For 19 of these countries (Afghanistan, Armenia, Bolivia, Botswana, Burkina Faso, Burundi, Ethiopia, Kazakhstan, Lesotho, Malawi, Mali, Mongolia, Nepal, Niger, Paraguay, Rwanda, Swaziland, Tajikistan, Uganda), the rule correctly predicts the rate of traffic accidents as <b>high</b>.",,,4,,high,,if the country falls into all of the following group(s) (simultaneously) <ul><li>Least Developed Countries&nbsp;<b>and</b> </li><li>African Union Member Economies&nbsp;</li><li>World Trade Organization Member Economies&nbsp;<b>and</b> </li><li>Swahilispeaking Countries And Territories&nbsp;<b>and</b> </li></ul>then the risk of traffic accidents is <b>high</b>,,,,,,,if the country falls into all of the following group(s) (simultaneously) <ul><li>African Union Member Economies&nbsp;</li><li>World Trade Organization Member Economies&nbsp;<b>and</b> </li><li>Least Developed Countries&nbsp;<b>and</b> </li><li>Swahilispeaking Countries And Territories&nbsp;<b>and</b> </li></ul>then the risk of traffic accidents is <b>high</b>,,,,,,,TEST,No preference,"The rules are identical, only the conditions (groups) are listed in different order.",,,No preference,"The rules are identical, only the conditions (groups) are listed in different order."
815373513,10/26/2015 15:06:11,12/4/2015 02:37:10,TRUE,"Following countries fall into all of the groups defined by the rule: <b>Bahrain, Qatar, United Arab Emirates</b><br/> All these countries have a risk of traffic accidents <b>low</b>","Following countries fall into all of the groups defined by the rule: <b>Bahrain, Kuwait, Oman, Qatar, United Arab Emirates </b><br/>For 3 of these countries (Bahrain, Qatar, United Arab Emirates), the rule correctly predicts the rate of traffic accidents as <b>low</b>.",,,5,,low,,if the country falls into all of the following group(s) (simultaneously) <ul><li>Member States Of The Arab League&nbsp;<b>and</b> </li><li>Middle Eastern Countries&nbsp;<b>and</b> </li><li>Member States Of The Cooperation Council For The Arab States Of The Gulf&nbsp;</li></ul>then the risk of traffic accidents is <b>low</b>,,,,,,,if the country falls into all of the following group(s) (simultaneously) <ul><li>Middle Eastern Countries&nbsp;<b>and</b> </li><li>Member States Of The Arab League&nbsp;<b>and</b> </li><li>Member States Of The Cooperation Council For The Arab States Of The Gulf&nbsp;</li></ul>then the risk of traffic accidents is <b>low</b>,,,,,,,TEST,No preference,"The rules are identical, only the conditions (groups) are listed in different order.",,,No preference,"The rules are identical, only the conditions (groups) are listed in different order."
815373514,10/26/2015 15:06:11,12/2/2015 18:57:11,TRUE,"Following countries fall into all of the groups defined by the rule: <b>Comoros, Mozambique, Uganda</b><br/> All these countries have a risk of traffic accidents <b>high</b>","Following countries fall into all of the groups defined by the rule: <b>Australia, Bangladesh, Barbados, Botswana, Cameroon, Dominica, Guyana, India, Jamaica, Kenya, Lesotho, Malawi, Malaysia, Mauritius, Mozambique, Namibia, New Zealand, Nigeria, Pakistan, Papua New Guinea, Rwanda, Sierra Leone, Singapore, Solomon Islands, South Africa, Swaziland, Uganda </b><br/>For 17 of these countries (Botswana, Cameroon, Guyana, India, Kenya, Lesotho, Malawi, Malaysia, Mozambique, Namibia, Nigeria, Pakistan, Rwanda, Sierra Leone, South Africa, Swaziland, Uganda), the rule correctly predicts the rate of traffic accidents as <b>high</b>.",,,6,,high,,if the country falls into all of the following group(s) (simultaneously) <ul><li>Member States Of The United Nations&nbsp;<b>and</b> </li><li>World Trade Organization Member Economies&nbsp;<b>and</b> </li><li>Member States Of The Commonwealth Of Nations&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>,,,,,,,if the country falls into all of the following group(s) (simultaneously) <ul><li>World Trade Organization Member Economies&nbsp;<b>and</b> </li><li>Member States Of The United Nations&nbsp;<b>and</b> </li><li>Member States Of The Commonwealth Of Nations&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>,,,,,,,TEST,No preference,"The rules are identical, only the conditions (groups) are listed in different order.",,,No preference,"The rules are identical, only the conditions (groups) are listed in different order."
815373515,10/26/2015 15:06:11,12/4/2015 02:37:10,TRUE,"Following countries fall into all of the groups defined by the rule: <b>Comoros, Mauritania</b><br/> All these countries have a risk of traffic accidents <b>high</b>","Following countries fall into all of the groups defined by the rule: <b>Burundi, Comoros, Mozambique, Rwanda, Uganda</b><br/> All these countries have a risk of traffic accidents <b>high</b>",,,7,,high,,if the country falls into all of the following group(s) (simultaneously) <ul><li>Member States Of La Francophonie&nbsp;<b>and</b> </li><li>Member States Of The Arab League&nbsp;<b>and</b> </li><li>Least Developed Countries&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>,,,,,,,if the country falls into all of the following group(s) (simultaneously) <ul><li>Member States Of La Francophonie&nbsp;<b>and</b> </li><li>Least Developed Countries&nbsp;<b>and</b></li><li>Member States Of The Arab League&nbsp; </li></ul>then the risk of traffic accidents is <b>high</b>,,,,,,,TEST,No preference,"The rules are identical, only the conditions (groups) are listed in different order.",,,No preference,"The rules are identical, only the conditions (groups) are listed in different order."
815373516,10/26/2015 15:06:11,12/2/2015 18:57:10,TRUE,"Following countries fall into all of the groups defined by the rule: <b>Angola, GuineaBissau, Mozambique</b><br/> All these countries have a risk of traffic accidents <b>high</b>","Following countries fall into all of the groups defined by the rule: <b>Comoros, Mozambique</b><br/> All these countries have a risk of traffic accidents <b>high</b>",,,8,,high,,if the country falls into all of the following group(s) (simultaneously) <ul><li>Member States Of The Community Of Portuguese Language Countries&nbsp;<b>and</b> </li><li>Member States Of The African Union&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>,,,,,,,if the country falls into all of the following group(s) (simultaneously) <ul><li>Member States Of The African Union&nbsp;<b>and</b> </li><li>Member States Of The Community Of Portuguese Language Countries&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>,,,,,,,TEST,No preference,"The rules are identical, only the conditions (groups) are listed in different order.",,,No preference,"The rules are identical, only the conditions (groups) are listed in different order."
815373517,10/26/2015 15:06:11,12/4/2015 08:15:56,TRUE,"Following countries fall into all of the groups defined by the rule: <b>Comoros, Mozambique</b><br/> All these countries have a risk of traffic accidents <b>high</b>","Following countries fall into all of the groups defined by the rule: <b>Benin, Burkina Faso, Comoros, GuineaBissau, Mali, Mauritania, Senegal, Togo</b><br/> All these countries have a risk of traffic accidents <b>high</b>",,,9,,high,,if the country falls into all of the following group(s) (simultaneously) <ul><li>Swahilispeaking Countries And Territories&nbsp;<b>and</b> </li><li>States And Territories Established In 1975&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>,,,,,,,if the country falls into all of the following group(s) (simultaneously) <ul><li>States And Territories Established In 1975&nbsp; <b>and</b></li><li>Swahilispeaking Countries And Territories&nbsp; </li></ul>then the risk of traffic accidents is <b>high</b>,,,,,,,TEST,No preference,"The rules are identical, only the conditions (groups) are listed in different order.",,,No preference,"The rules are identical, only the conditions (groups) are listed in different order."
815373518,10/26/2015 15:06:11,12/4/2015 02:37:10,TRUE,"Following countries fall into all of the groups defined by the rule: <b>Angola, Comoros, Mozambique</b><br/> All these countries have a risk of traffic accidents <b>high</b>","Following countries fall into all of the groups defined by the rule: <b>Comoros, Lebanon, Mauritania, Morocco, Tunisia</b><br/> All these countries have a risk of traffic accidents <b>high</b>",,,10,,high,,if the country falls into all of the following group(s) (simultaneously) <ul><li>Member States Of The United Nations&nbsp;<b>and</b> </li><li>Member States Of The European Union &nbsp;<b> and</b> </li><li>African Union Member Economies&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>,,,,,,,if the country falls into all of the following group(s) (simultaneously) <ul><li>Member States Of The United Nations&nbsp;<b>and</b> </li><li>Member States Of La Francophonie&nbsp;<b>and</b> </li><li>Arabicspeaking Countries And Territories&nbsp;<b>and</b> </li><li>Member States Of The Organisation Of Islamic Cooperation&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>,,,,,,,TEST,Rule 2 (strong preference),"Rule 1 contains attributes obviously mutually exclusive (Member States Of The European Union, African Union Member Economies)",,,Rule 2 (strong preference),"Rule 1 contains attributes obviously mutually exclusive (Member States Of The European Union, African Union Member Economies)"
