_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,what_is_the_rationale_for_your_choice,which_of_the_rules_do_you_find_as_more_plausible,orig__golden,cluer1,cluer2,correctlyclassifiedoverlap,coverageoverlap,id,intersectionwholerule,label,literalintersectionlength,r1,r1conf,r1correct,r1coverage,r1id,r1len,r1supp,r2,r2conf,r2correct,r2coverage,r2id,r2len,r2supp,tag,what_is_the_rationale_for_your_choice_gold,which_of_the_rules_do_you_find_as_more_plausible_gold,which_of_the_rules_do_you_find_as_more_plausible_gold_reason
833486684,12/4/2015 18:42:47,False,1822766203,,12/4/2015 18:40:07,False,neodev,0.8333,-7161851155458598400,GBR,I3,Chatham,,Rule 1 (strong preference),,"Following cities fall into all of the groups defined by the rule: <b>Zurich, Geneva, Bern</b><br/> All these countries have a risk of traffic accidents <b>high</b>","Following cities fall into all of the groups defined by the rule: <b>Vienna, Geneva, Milan</b><br/> All these countries have a risk of traffic accidents <b>high</b>",0.333333333333,0.333333333333,30,['Geneva'],high,0.0,if the city falls into all of the following group(s) (simultaneously) <ul><li>Cantonal Capitals Of Switzerland&nbsp;</li></ul>then the quality of living is <b>highest</b>,1.0,"['Zurich', 'Geneva', 'Bern']","['Zurich', 'Geneva', 'Bern']",0,1,0.0130434782609,if the city falls into all of the following group(s) (simultaneously) <ul><li>Populated Places Established In The 1st Millennium BC&nbsp;</li></ul>then the quality of living is <b>highest</b>,1.0,"['Vienna', 'Geneva', 'Milan']","['Vienna', 'Geneva', 'Milan']",2,1,0.0130434782609,arules,,,
833486684,12/7/2015 07:15:48,False,1824135314,,12/7/2015 07:02:59,False,prodege,1.0,5061137115979871410,CAN,AB,Edmonton,Rule 1 is more likely.,Rule 1 (strong preference),,"Following cities fall into all of the groups defined by the rule: <b>Zurich, Geneva, Bern</b><br/> All these countries have a risk of traffic accidents <b>high</b>","Following cities fall into all of the groups defined by the rule: <b>Vienna, Geneva, Milan</b><br/> All these countries have a risk of traffic accidents <b>high</b>",0.333333333333,0.333333333333,30,['Geneva'],high,0.0,if the city falls into all of the following group(s) (simultaneously) <ul><li>Cantonal Capitals Of Switzerland&nbsp;</li></ul>then the quality of living is <b>highest</b>,1.0,"['Zurich', 'Geneva', 'Bern']","['Zurich', 'Geneva', 'Bern']",0,1,0.0130434782609,if the city falls into all of the following group(s) (simultaneously) <ul><li>Populated Places Established In The 1st Millennium BC&nbsp;</li></ul>then the quality of living is <b>highest</b>,1.0,"['Vienna', 'Geneva', 'Milan']","['Vienna', 'Geneva', 'Milan']",2,1,0.0130434782609,arules,,,
833486684,12/8/2015 19:22:58,False,1825925294,,12/8/2015 19:03:03,False,clixsense,1.0,-4622981490230976697,CAN,ON,London,"Switzerland has a very high standard of living, whereas populated places established in the first millennium BC is broad and may include places with a lower quality of living.",Rule 1 (strong preference),,"Following cities fall into all of the groups defined by the rule: <b>Zurich, Geneva, Bern</b><br/> All these countries have a risk of traffic accidents <b>high</b>","Following cities fall into all of the groups defined by the rule: <b>Vienna, Geneva, Milan</b><br/> All these countries have a risk of traffic accidents <b>high</b>",0.333333333333,0.333333333333,30,['Geneva'],high,0.0,if the city falls into all of the following group(s) (simultaneously) <ul><li>Cantonal Capitals Of Switzerland&nbsp;</li></ul>then the quality of living is <b>highest</b>,1.0,"['Zurich', 'Geneva', 'Bern']","['Zurich', 'Geneva', 'Bern']",0,1,0.0130434782609,if the city falls into all of the following group(s) (simultaneously) <ul><li>Populated Places Established In The 1st Millennium BC&nbsp;</li></ul>then the quality of living is <b>highest</b>,1.0,"['Vienna', 'Geneva', 'Milan']","['Vienna', 'Geneva', 'Milan']",2,1,0.0130434782609,arules,,,
833486684,12/9/2015 10:38:15,False,1826470161,,12/9/2015 10:32:29,False,prodege,1.0,-5217799988074681000,USA,CA,Los Angeles,both rules have only one plausible condition each,No preference,,"Following cities fall into all of the groups defined by the rule: <b>Zurich, Geneva, Bern</b><br/> All these countries have a risk of traffic accidents <b>high</b>","Following cities fall into all of the groups defined by the rule: <b>Vienna, Geneva, Milan</b><br/> All these countries have a risk of traffic accidents <b>high</b>",0.333333333333,0.333333333333,30,['Geneva'],high,0.0,if the city falls into all of the following group(s) (simultaneously) <ul><li>Cantonal Capitals Of Switzerland&nbsp;</li></ul>then the quality of living is <b>highest</b>,1.0,"['Zurich', 'Geneva', 'Bern']","['Zurich', 'Geneva', 'Bern']",0,1,0.0130434782609,if the city falls into all of the following group(s) (simultaneously) <ul><li>Populated Places Established In The 1st Millennium BC&nbsp;</li></ul>then the quality of living is <b>highest</b>,1.0,"['Vienna', 'Geneva', 'Milan']","['Vienna', 'Geneva', 'Milan']",2,1,0.0130434782609,arules,,,
833486684,12/12/2015 03:21:58,False,1830301946,,12/12/2015 03:17:09,False,fusioncash,1.0,1639332490183741760,USA,WI,Genoa City,Not populated.  Not ancient.,Rule 1 (strong preference),,"Following cities fall into all of the groups defined by the rule: <b>Zurich, Geneva, Bern</b><br/> All these countries have a risk of traffic accidents <b>high</b>","Following cities fall into all of the groups defined by the rule: <b>Vienna, Geneva, Milan</b><br/> All these countries have a risk of traffic accidents <b>high</b>",0.333333333333,0.333333333333,30,['Geneva'],high,0.0,if the city falls into all of the following group(s) (simultaneously) <ul><li>Cantonal Capitals Of Switzerland&nbsp;</li></ul>then the quality of living is <b>highest</b>,1.0,"['Zurich', 'Geneva', 'Bern']","['Zurich', 'Geneva', 'Bern']",0,1,0.0130434782609,if the city falls into all of the following group(s) (simultaneously) <ul><li>Populated Places Established In The 1st Millennium BC&nbsp;</li></ul>then the quality of living is <b>highest</b>,1.0,"['Vienna', 'Geneva', 'Milan']","['Vienna', 'Geneva', 'Milan']",2,1,0.0130434782609,arules,,,
833486685,12/15/2015 20:55:12,False,1833187824,,12/15/2015 20:52:34,False,instagc,0.8333,-3945993525725640437,USA,PA,Philadelphia,Capital cities would likely have a higher quality of living.,Rule 2 (strong preference),,"Following cities fall into all of the groups defined by the rule: <b>Zurich, Geneva, Bern</b><br/> All these countries have a risk of traffic accidents <b>high</b>","Following cities fall into all of the groups defined by the rule: <b>Zurich, Geneva, Bern</b><br/> All these countries have a risk of traffic accidents <b>high</b>",1.0,1.0,17,"['Zurich', 'Bern', 'Geneva']",high,0.0,if the city falls into all of the following group(s) (simultaneously) <ul><li>Cities In Switzerland&nbsp;</li></ul>then the quality of living is <b>highest</b>,1.0,"['Zurich', 'Geneva', 'Bern']","['Zurich', 'Geneva', 'Bern']",1,1,0.0130434782609,if the city falls into all of the following group(s) (simultaneously) <ul><li>Cantonal Capitals Of Switzerland&nbsp;</li></ul>then the quality of living is <b>highest</b>,1.0,"['Zurich', 'Geneva', 'Bern']","['Zurich', 'Geneva', 'Bern']",0,1,0.0130434782609,arules,,,
833486685,12/20/2015 19:48:55,False,1837237334,,12/20/2015 19:44:39,False,prodege,0.8333,6926418834212221769,USA,NV,Las Vegas,Switzerland is overall a high quality country.,No preference,,"Following cities fall into all of the groups defined by the rule: <b>Zurich, Geneva, Bern</b><br/> All these countries have a risk of traffic accidents <b>high</b>","Following cities fall into all of the groups defined by the rule: <b>Zurich, Geneva, Bern</b><br/> All these countries have a risk of traffic accidents <b>high</b>",1.0,1.0,17,"['Zurich', 'Bern', 'Geneva']",high,0.0,if the city falls into all of the following group(s) (simultaneously) <ul><li>Cities In Switzerland&nbsp;</li></ul>then the quality of living is <b>highest</b>,1.0,"['Zurich', 'Geneva', 'Bern']","['Zurich', 'Geneva', 'Bern']",1,1,0.0130434782609,if the city falls into all of the following group(s) (simultaneously) <ul><li>Cantonal Capitals Of Switzerland&nbsp;</li></ul>then the quality of living is <b>highest</b>,1.0,"['Zurich', 'Geneva', 'Bern']","['Zurich', 'Geneva', 'Bern']",0,1,0.0130434782609,arules,,,
833486685,12/21/2015 09:16:11,False,1837579595,,12/21/2015 09:14:27,False,elite,1.0,-3970259062583885055,USA,NY,Rochester,,Rule 2 (strong preference),,"Following cities fall into all of the groups defined by the rule: <b>Zurich, Geneva, Bern</b><br/> All these countries have a risk of traffic accidents <b>high</b>","Following cities fall into all of the groups defined by the rule: <b>Zurich, Geneva, Bern</b><br/> All these countries have a risk of traffic accidents <b>high</b>",1.0,1.0,17,"['Zurich', 'Bern', 'Geneva']",high,0.0,if the city falls into all of the following group(s) (simultaneously) <ul><li>Cities In Switzerland&nbsp;</li></ul>then the quality of living is <b>highest</b>,1.0,"['Zurich', 'Geneva', 'Bern']","['Zurich', 'Geneva', 'Bern']",1,1,0.0130434782609,if the city falls into all of the following group(s) (simultaneously) <ul><li>Cantonal Capitals Of Switzerland&nbsp;</li></ul>then the quality of living is <b>highest</b>,1.0,"['Zurich', 'Geneva', 'Bern']","['Zurich', 'Geneva', 'Bern']",0,1,0.0130434782609,arules,,,
833486685,12/21/2015 10:45:48,False,1837653938,,12/21/2015 10:33:04,False,neodev,1.0,-3825844082932302713,CAN,QC,Laval,"I think it's a well-known fact that life quality is high in Switzerland and since both rules point exclusively to Switzerland cities, then it's hard to have a preference.",No preference,,"Following cities fall into all of the groups defined by the rule: <b>Zurich, Geneva, Bern</b><br/> All these countries have a risk of traffic accidents <b>high</b>","Following cities fall into all of the groups defined by the rule: <b>Zurich, Geneva, Bern</b><br/> All these countries have a risk of traffic accidents <b>high</b>",1.0,1.0,17,"['Zurich', 'Bern', 'Geneva']",high,0.0,if the city falls into all of the following group(s) (simultaneously) <ul><li>Cities In Switzerland&nbsp;</li></ul>then the quality of living is <b>highest</b>,1.0,"['Zurich', 'Geneva', 'Bern']","['Zurich', 'Geneva', 'Bern']",1,1,0.0130434782609,if the city falls into all of the following group(s) (simultaneously) <ul><li>Cantonal Capitals Of Switzerland&nbsp;</li></ul>then the quality of living is <b>highest</b>,1.0,"['Zurich', 'Geneva', 'Bern']","['Zurich', 'Geneva', 'Bern']",0,1,0.0130434782609,arules,,,
833486685,12/21/2015 17:39:38,False,1837887623,,12/21/2015 17:27:17,False,elite,0.8333,4472697805891769920,USA,NY,Rochester,,Rule 2 (strong preference),,"Following cities fall into all of the groups defined by the rule: <b>Zurich, Geneva, Bern</b><br/> All these countries have a risk of traffic accidents <b>high</b>","Following cities fall into all of the groups defined by the rule: <b>Zurich, Geneva, Bern</b><br/> All these countries have a risk of traffic accidents <b>high</b>",1.0,1.0,17,"['Zurich', 'Bern', 'Geneva']",high,0.0,if the city falls into all of the following group(s) (simultaneously) <ul><li>Cities In Switzerland&nbsp;</li></ul>then the quality of living is <b>highest</b>,1.0,"['Zurich', 'Geneva', 'Bern']","['Zurich', 'Geneva', 'Bern']",1,1,0.0130434782609,if the city falls into all of the following group(s) (simultaneously) <ul><li>Cantonal Capitals Of Switzerland&nbsp;</li></ul>then the quality of living is <b>highest</b>,1.0,"['Zurich', 'Geneva', 'Bern']","['Zurich', 'Geneva', 'Bern']",0,1,0.0130434782609,arules,,,
