_unit_id,_created_at,_golden,_id,_missed,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,did_you_need_to_open_the_links_with_links_of_countries_in_each_of_the_groups_to_make_the_judgement,did_you_need_to_open_the_links_with_the_list_of_countries_in_each_of_the_groups_to_make_the_judgement,did_you_need_to_open_the_links_with_the_list_of_countries_in_each_of_the_groups_to_make_the_judgements,please_explain_the_intuition_behind_your_choices,please_explain_your_choices,select_onewhich_of_the_rules_do_you_find_as_more_plausible,similarity,what_is_the_rationale_for_your_choice,which_of_the_rules_do_you_find_as_more_intelligible,which_of_the_rules_do_you_find_as_more_plausible,which_of_the_rules_do_you_find_as_more_useful,word_1_wikipedia_url,word_2_wikipedia_url,orig__golden,cluer1,cluer2,correctlyclassifiedoverlap,coverageoverlap,id,intersectionwholerule,label,literalintersectionlength,r1,r1conf,r1correct,r1coverage,r1id,r1len,r1supp,r2,r2conf,r2correct,r2coverage,r2id,r2len,r2supp,tag,what_is_the_rationale_for_your_choice_gold,which_of_the_rules_do_you_find_as_more_plausible_gold,which_of_the_rules_do_you_find_as_more_plausible_gold_reason
815374264,10/26/2015 15:54:09,False,1782500310,,10/26/2015 15:50:05,False,neodev,1.0,479388895105473535,GBR,H9,London,,,,,,,,western asian and middle eastern are mutually exclusive,,Rule 1 (strong preference),,,,,"Following countries fall into all of the groups defined by the rule: <b>Iraq, Saudi Arabia</b><br/> All these countries have a risk of traffic accidents <b>high</b>","Following countries fall into all of the groups defined by the rule: <b>Iraq, Saudi Arabia</b><br/> All these countries have a risk of traffic accidents <b>high</b>",1.0,1.0,0,"['Saudi Arabia', 'Iraq']",high,2.0,if the country falls into all of the following group(s) (simultaneously) <ul><li>States And Territories Established In 1932&nbsp;<b>and</b> </li><li>Western Asian Countries&nbsp;<b>and</b> </li><li>Member States Of OPEC&nbsp;<b>and</b> </li><li>Member States Of The Organisation Of Islamic Cooperation&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>,1.0,"['Iraq', 'Saudi Arabia']","['Iraq', 'Saudi Arabia']",2668.0,4.0,0.013698630137,if the country falls into all of the following group(s) (simultaneously) <ul><li>States And Territories Established In 1932&nbsp;<b>and</b> </li><li>Member States Of The United Nations&nbsp;<b>and</b> </li><li>Western Asian Countries&nbsp;<b>and</b> </li><li>Middle Eastern Countries&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>,1.0,"['Iraq', 'Saudi Arabia']","['Iraq', 'Saudi Arabia']",2683.0,4.0,0.013698630137,sameLengthRulesNonDisjunctAttH,,,
815374264,10/26/2015 18:56:18,False,1782804895,,10/26/2015 18:50:10,False,neodev,1.0,6160364674545052707,USA,IL,Chicago,,,,,,,,,,No preference,,,,,"Following countries fall into all of the groups defined by the rule: <b>Iraq, Saudi Arabia</b><br/> All these countries have a risk of traffic accidents <b>high</b>","Following countries fall into all of the groups defined by the rule: <b>Iraq, Saudi Arabia</b><br/> All these countries have a risk of traffic accidents <b>high</b>",1.0,1.0,0,"['Saudi Arabia', 'Iraq']",high,2.0,if the country falls into all of the following group(s) (simultaneously) <ul><li>States And Territories Established In 1932&nbsp;<b>and</b> </li><li>Western Asian Countries&nbsp;<b>and</b> </li><li>Member States Of OPEC&nbsp;<b>and</b> </li><li>Member States Of The Organisation Of Islamic Cooperation&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>,1.0,"['Iraq', 'Saudi Arabia']","['Iraq', 'Saudi Arabia']",2668.0,4.0,0.013698630137,if the country falls into all of the following group(s) (simultaneously) <ul><li>States And Territories Established In 1932&nbsp;<b>and</b> </li><li>Member States Of The United Nations&nbsp;<b>and</b> </li><li>Western Asian Countries&nbsp;<b>and</b> </li><li>Middle Eastern Countries&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>,1.0,"['Iraq', 'Saudi Arabia']","['Iraq', 'Saudi Arabia']",2683.0,4.0,0.013698630137,sameLengthRulesNonDisjunctAttH,,,
815374264,10/26/2015 19:09:01,False,1782813510,,10/26/2015 19:01:36,False,neodev,1.0,-5629095913348263835,USA,MN,Minneapolis,,,,,,,,Not aware of Western Asian Countries in OPEC,,Rule 2 (strong preference),,,,,"Following countries fall into all of the groups defined by the rule: <b>Iraq, Saudi Arabia</b><br/> All these countries have a risk of traffic accidents <b>high</b>","Following countries fall into all of the groups defined by the rule: <b>Iraq, Saudi Arabia</b><br/> All these countries have a risk of traffic accidents <b>high</b>",1.0,1.0,0,"['Saudi Arabia', 'Iraq']",high,2.0,if the country falls into all of the following group(s) (simultaneously) <ul><li>States And Territories Established In 1932&nbsp;<b>and</b> </li><li>Western Asian Countries&nbsp;<b>and</b> </li><li>Member States Of OPEC&nbsp;<b>and</b> </li><li>Member States Of The Organisation Of Islamic Cooperation&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>,1.0,"['Iraq', 'Saudi Arabia']","['Iraq', 'Saudi Arabia']",2668.0,4.0,0.013698630137,if the country falls into all of the following group(s) (simultaneously) <ul><li>States And Territories Established In 1932&nbsp;<b>and</b> </li><li>Member States Of The United Nations&nbsp;<b>and</b> </li><li>Western Asian Countries&nbsp;<b>and</b> </li><li>Middle Eastern Countries&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>,1.0,"['Iraq', 'Saudi Arabia']","['Iraq', 'Saudi Arabia']",2683.0,4.0,0.013698630137,sameLengthRulesNonDisjunctAttH,,,
815374264,10/26/2015 19:18:52,False,1782819447,,10/26/2015 19:13:56,False,tremorgames,1.0,2298754369171051144,GBR,E2,Ripe,,,,,,,,Membership to OPEC,,Rule 2 (strong preference),,,,,"Following countries fall into all of the groups defined by the rule: <b>Iraq, Saudi Arabia</b><br/> All these countries have a risk of traffic accidents <b>high</b>","Following countries fall into all of the groups defined by the rule: <b>Iraq, Saudi Arabia</b><br/> All these countries have a risk of traffic accidents <b>high</b>",1.0,1.0,0,"['Saudi Arabia', 'Iraq']",high,2.0,if the country falls into all of the following group(s) (simultaneously) <ul><li>States And Territories Established In 1932&nbsp;<b>and</b> </li><li>Western Asian Countries&nbsp;<b>and</b> </li><li>Member States Of OPEC&nbsp;<b>and</b> </li><li>Member States Of The Organisation Of Islamic Cooperation&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>,1.0,"['Iraq', 'Saudi Arabia']","['Iraq', 'Saudi Arabia']",2668.0,4.0,0.013698630137,if the country falls into all of the following group(s) (simultaneously) <ul><li>States And Territories Established In 1932&nbsp;<b>and</b> </li><li>Member States Of The United Nations&nbsp;<b>and</b> </li><li>Western Asian Countries&nbsp;<b>and</b> </li><li>Middle Eastern Countries&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>,1.0,"['Iraq', 'Saudi Arabia']","['Iraq', 'Saudi Arabia']",2683.0,4.0,0.013698630137,sameLengthRulesNonDisjunctAttH,,,
815374264,10/26/2015 20:25:55,False,1782869628,,10/26/2015 20:18:58,False,superrewards,1.0,6789623421798111626,USA,,,,,,,,,,The Middle East is technically in Western Asia while the Member States of the Organization of Islamic Cooperation are not as geographically defined,,Rule 2 (weak preference),,,,,"Following countries fall into all of the groups defined by the rule: <b>Iraq, Saudi Arabia</b><br/> All these countries have a risk of traffic accidents <b>high</b>","Following countries fall into all of the groups defined by the rule: <b>Iraq, Saudi Arabia</b><br/> All these countries have a risk of traffic accidents <b>high</b>",1.0,1.0,0,"['Saudi Arabia', 'Iraq']",high,2.0,if the country falls into all of the following group(s) (simultaneously) <ul><li>States And Territories Established In 1932&nbsp;<b>and</b> </li><li>Western Asian Countries&nbsp;<b>and</b> </li><li>Member States Of OPEC&nbsp;<b>and</b> </li><li>Member States Of The Organisation Of Islamic Cooperation&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>,1.0,"['Iraq', 'Saudi Arabia']","['Iraq', 'Saudi Arabia']",2668.0,4.0,0.013698630137,if the country falls into all of the following group(s) (simultaneously) <ul><li>States And Territories Established In 1932&nbsp;<b>and</b> </li><li>Member States Of The United Nations&nbsp;<b>and</b> </li><li>Western Asian Countries&nbsp;<b>and</b> </li><li>Middle Eastern Countries&nbsp;</li></ul>then the risk of traffic accidents is <b>high</b>,1.0,"['Iraq', 'Saudi Arabia']","['Iraq', 'Saudi Arabia']",2683.0,4.0,0.013698630137,sameLengthRulesNonDisjunctAttH,,,
815374265,10/26/2015 21:58:03,False,1782953304,,10/26/2015 21:52:44,False,neodev,1.0,3427576029744618045,USA,CA,Stanford,,,,,,,,"Rule 1 seems to emphasise Great Britain, where there are few traffic accidents.",,Rule 1 (weak preference),,,,,"Following countries fall into all of the groups defined by the rule: <b>Malta, United Kingdom</b><br/> All these countries have a risk of traffic accidents <b>low</b>","Following countries fall into all of the groups defined by the rule: <b>Malta, United Kingdom</b><br/> All these countries have a risk of traffic accidents <b>low</b>",1.0,1.0,1,"['United Kingdom', 'Malta']",low,2.0,if the country falls into all of the following group(s) (simultaneously) <ul><li>Member States Of The Council Of Europe&nbsp;<b>and</b> </li><li>Englishspeaking Countries And Territories&nbsp;<b>and</b> </li><li>Island Countries&nbsp;<b>and</b> </li><li>Member States Of The Union For The Mediterranean&nbsp;</li></ul>then the risk of traffic accidents is <b>low</b>,1.0,"['Malta', 'United Kingdom']","['Malta', 'United Kingdom']",5158.0,4.0,0.013698630137,if the country falls into all of the following group(s) (simultaneously) <ul><li>Englishspeaking Countries And Territories&nbsp;<b>and</b> </li><li>Member States Of The Union For The Mediterranean&nbsp;</li></ul>then the risk of traffic accidents is <b>low</b>,1.0,"['Malta', 'United Kingdom']","['Malta', 'United Kingdom']",548.0,2.0,0.013698630137,differentLengthRulesR1subsumingR2AttL,,,
815374265,12/9/2015 07:35:57,False,1826355625,,12/9/2015 07:26:05,False,prodege,0.8333,5061137115979871410,CAN,AB,Edmonton,,,,,,,,rule 2 seems more likely,,Rule 2 (strong preference),,,,,"Following countries fall into all of the groups defined by the rule: <b>Malta, United Kingdom</b><br/> All these countries have a risk of traffic accidents <b>low</b>","Following countries fall into all of the groups defined by the rule: <b>Malta, United Kingdom</b><br/> All these countries have a risk of traffic accidents <b>low</b>",1.0,1.0,1,"['United Kingdom', 'Malta']",low,2.0,if the country falls into all of the following group(s) (simultaneously) <ul><li>Member States Of The Council Of Europe&nbsp;<b>and</b> </li><li>Englishspeaking Countries And Territories&nbsp;<b>and</b> </li><li>Island Countries&nbsp;<b>and</b> </li><li>Member States Of The Union For The Mediterranean&nbsp;</li></ul>then the risk of traffic accidents is <b>low</b>,1.0,"['Malta', 'United Kingdom']","['Malta', 'United Kingdom']",5158.0,4.0,0.013698630137,if the country falls into all of the following group(s) (simultaneously) <ul><li>Englishspeaking Countries And Territories&nbsp;<b>and</b> </li><li>Member States Of The Union For The Mediterranean&nbsp;</li></ul>then the risk of traffic accidents is <b>low</b>,1.0,"['Malta', 'United Kingdom']","['Malta', 'United Kingdom']",548.0,2.0,0.013698630137,differentLengthRulesR1subsumingR2AttL,,,
815374265,12/9/2015 10:28:10,False,1826465940,,12/9/2015 10:23:46,False,prodege,0.8333,-5217799988074681000,USA,CA,Los Angeles,,,,,,,,"none of the four conditions of the first rule conflict, and the conditions of the second rule are the same as two from the first rule",,No preference,,,,,"Following countries fall into all of the groups defined by the rule: <b>Malta, United Kingdom</b><br/> All these countries have a risk of traffic accidents <b>low</b>","Following countries fall into all of the groups defined by the rule: <b>Malta, United Kingdom</b><br/> All these countries have a risk of traffic accidents <b>low</b>",1.0,1.0,1,"['United Kingdom', 'Malta']",low,2.0,if the country falls into all of the following group(s) (simultaneously) <ul><li>Member States Of The Council Of Europe&nbsp;<b>and</b> </li><li>Englishspeaking Countries And Territories&nbsp;<b>and</b> </li><li>Island Countries&nbsp;<b>and</b> </li><li>Member States Of The Union For The Mediterranean&nbsp;</li></ul>then the risk of traffic accidents is <b>low</b>,1.0,"['Malta', 'United Kingdom']","['Malta', 'United Kingdom']",5158.0,4.0,0.013698630137,if the country falls into all of the following group(s) (simultaneously) <ul><li>Englishspeaking Countries And Territories&nbsp;<b>and</b> </li><li>Member States Of The Union For The Mediterranean&nbsp;</li></ul>then the risk of traffic accidents is <b>low</b>,1.0,"['Malta', 'United Kingdom']","['Malta', 'United Kingdom']",548.0,2.0,0.013698630137,differentLengthRulesR1subsumingR2AttL,,,
815374265,12/11/2015 04:41:59,False,1829064261,,12/11/2015 04:32:15,False,prodege,1.0,390369696679564861,USA,GA,Stone Mountain,,,,,,,,They seem to be about the same. Rule 1 is slightly more specific but I don't know if that changes plausibility.,,No preference,,,,,"Following countries fall into all of the groups defined by the rule: <b>Malta, United Kingdom</b><br/> All these countries have a risk of traffic accidents <b>low</b>","Following countries fall into all of the groups defined by the rule: <b>Malta, United Kingdom</b><br/> All these countries have a risk of traffic accidents <b>low</b>",1.0,1.0,1,"['United Kingdom', 'Malta']",low,2.0,if the country falls into all of the following group(s) (simultaneously) <ul><li>Member States Of The Council Of Europe&nbsp;<b>and</b> </li><li>Englishspeaking Countries And Territories&nbsp;<b>and</b> </li><li>Island Countries&nbsp;<b>and</b> </li><li>Member States Of The Union For The Mediterranean&nbsp;</li></ul>then the risk of traffic accidents is <b>low</b>,1.0,"['Malta', 'United Kingdom']","['Malta', 'United Kingdom']",5158.0,4.0,0.013698630137,if the country falls into all of the following group(s) (simultaneously) <ul><li>Englishspeaking Countries And Territories&nbsp;<b>and</b> </li><li>Member States Of The Union For The Mediterranean&nbsp;</li></ul>then the risk of traffic accidents is <b>low</b>,1.0,"['Malta', 'United Kingdom']","['Malta', 'United Kingdom']",548.0,2.0,0.013698630137,differentLengthRulesR1subsumingR2AttL,,,
815374265,12/12/2015 02:56:05,False,1830281928,,12/12/2015 02:45:17,False,fusioncash,0.8333,1639332490183741760,USA,WI,Genoa City,,,,,,,,That is a very specific group of people listed in the first category.,,Rule 1 (strong preference),,,,,"Following countries fall into all of the groups defined by the rule: <b>Malta, United Kingdom</b><br/> All these countries have a risk of traffic accidents <b>low</b>","Following countries fall into all of the groups defined by the rule: <b>Malta, United Kingdom</b><br/> All these countries have a risk of traffic accidents <b>low</b>",1.0,1.0,1,"['United Kingdom', 'Malta']",low,2.0,if the country falls into all of the following group(s) (simultaneously) <ul><li>Member States Of The Council Of Europe&nbsp;<b>and</b> </li><li>Englishspeaking Countries And Territories&nbsp;<b>and</b> </li><li>Island Countries&nbsp;<b>and</b> </li><li>Member States Of The Union For The Mediterranean&nbsp;</li></ul>then the risk of traffic accidents is <b>low</b>,1.0,"['Malta', 'United Kingdom']","['Malta', 'United Kingdom']",5158.0,4.0,0.013698630137,if the country falls into all of the following group(s) (simultaneously) <ul><li>Englishspeaking Countries And Territories&nbsp;<b>and</b> </li><li>Member States Of The Union For The Mediterranean&nbsp;</li></ul>then the risk of traffic accidents is <b>low</b>,1.0,"['Malta', 'United Kingdom']","['Malta', 'United Kingdom']",548.0,2.0,0.013698630137,differentLengthRulesR1subsumingR2AttL,,,
