_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_country,_region,_city,what_is_the_rationale_for_your_choice,what_is_the_relevance_of_the_property_given_above_for_determining_whether_a_mushroom_is_edible_or_poisonous,friendly,id,orig,values,what_is_the_relevance_of_the_property_given_above_for_determining_whether_a_mushroom_is_edible_or_poisonous_gold
887401196,2/19/2016 17:38:41,1899348188,2/19/2016 17:36:53,False,instagc,1.0,CAN,BC,Vancouver,These are common shapes for caps.,10,cap shape,1,cap-shape,"<i>bell</i>,<i>conical</i>,<i>convex</i>,<i>flat</i>,<i>knobbed</i>,<i>sunken</i>",
887401196,2/19/2016 17:39:55,1899350258,2/19/2016 17:37:05,False,clixsense,1.0,CAN,QC,Montréal,,10,cap shape,1,cap-shape,"<i>bell</i>,<i>conical</i>,<i>convex</i>,<i>flat</i>,<i>knobbed</i>,<i>sunken</i>",
887401196,2/19/2016 17:41:51,1899353904,2/19/2016 17:38:39,False,prodege,1.0,GBR,G1,Hounslow,Shape can be chanded,6,cap shape,1,cap-shape,"<i>bell</i>,<i>conical</i>,<i>convex</i>,<i>flat</i>,<i>knobbed</i>,<i>sunken</i>",
887401196,2/19/2016 17:49:00,1899369501,2/19/2016 17:47:27,False,instagc,1.0,GBR,K1,Oldham,They're very distinctive elements that could determine whether or not something is poisonous,9,cap shape,1,cap-shape,"<i>bell</i>,<i>conical</i>,<i>convex</i>,<i>flat</i>,<i>knobbed</i>,<i>sunken</i>",
887401196,2/19/2016 17:54:01,1899380287,2/19/2016 17:51:52,False,instagc,1.0,USA,IL,Carlyle,not enough information to judge,5,cap shape,1,cap-shape,"<i>bell</i>,<i>conical</i>,<i>convex</i>,<i>flat</i>,<i>knobbed</i>,<i>sunken</i>",
887401197,2/19/2016 17:16:48,1899321141,2/19/2016 17:14:24,False,elite,1.0,USA,NY,Rochester,,8,presence of  bruises,2,bruises?,<i>yes</i> or <i>no</i>,
887401197,2/19/2016 17:53:47,1899379867,2/19/2016 17:21:56,False,neodev,1.0,GBR,M3,Bridgwater,Can't determine a mushroom is edible or poisonous.,1,presence of  bruises,2,bruises?,<i>yes</i> or <i>no</i>,
887401197,2/19/2016 18:37:38,1899504303,2/19/2016 18:22:11,False,prodege,1.0,CAN,AB,Sherwood Park,Bruised mushrooms usually indicate that they are old and not necessarily poisonous. They may not be the tastiest to eat however as they are beginning to spoil if they are bruised.,6,presence of  bruises,2,bruises?,<i>yes</i> or <i>no</i>,
887401197,2/19/2016 18:49:28,1899550226,2/19/2016 18:22:38,False,neodev,1.0,USA,CA,Saratoga,Yes!! I have fear of poisonous mushrooms xD,9,presence of  bruises,2,bruises?,<i>yes</i> or <i>no</i>,
887401197,2/19/2016 19:42:42,1899624400,2/19/2016 19:39:48,False,clixsense,1.0,GBR,I3,Rochester,,10,presence of  bruises,2,bruises?,<i>yes</i> or <i>no</i>,
887401198,2/19/2016 17:16:48,1899321137,2/19/2016 17:14:24,False,elite,1.0,USA,NY,Rochester,,10,odour,3,odor,"<i>almond</i>,<i>anise</i>,<i>creosote</i>,<i>fishy</i>,<i>foul</i>,<i>musty</i>,<i>does not have odour</i>,<i>pungent</i>,<i>spicy</i>",
887401198,2/19/2016 17:53:47,1899379868,2/19/2016 17:21:56,False,neodev,1.0,GBR,M3,Bridgwater,Somewhat can determine a mushroom is edible or poisonous.,5,odour,3,odor,"<i>almond</i>,<i>anise</i>,<i>creosote</i>,<i>fishy</i>,<i>foul</i>,<i>musty</i>,<i>does not have odour</i>,<i>pungent</i>,<i>spicy</i>",
887401198,2/19/2016 18:37:38,1899504304,2/19/2016 18:22:11,False,prodege,1.0,CAN,AB,Sherwood Park,It's possible the foul and fishy smelling mushrooms are poisonous. The same might apply for the other things mentioned like pungent and spicy. I would say these words are quite relevant in determining whether mushrooms are edible or not.,8,odour,3,odor,"<i>almond</i>,<i>anise</i>,<i>creosote</i>,<i>fishy</i>,<i>foul</i>,<i>musty</i>,<i>does not have odour</i>,<i>pungent</i>,<i>spicy</i>",
887401198,2/19/2016 18:49:28,1899550216,2/19/2016 18:22:38,False,neodev,1.0,USA,CA,Saratoga,"If it's a familiar smell, I would think that is not poisonous4",3,odour,3,odor,"<i>almond</i>,<i>anise</i>,<i>creosote</i>,<i>fishy</i>,<i>foul</i>,<i>musty</i>,<i>does not have odour</i>,<i>pungent</i>,<i>spicy</i>",
887401198,2/19/2016 19:42:42,1899624399,2/19/2016 19:39:48,False,clixsense,1.0,GBR,I3,Rochester,,10,odour,3,odor,"<i>almond</i>,<i>anise</i>,<i>creosote</i>,<i>fishy</i>,<i>foul</i>,<i>musty</i>,<i>does not have odour</i>,<i>pungent</i>,<i>spicy</i>",
887401199,2/19/2016 17:16:48,1899321139,2/19/2016 17:14:24,False,elite,1.0,USA,NY,Rochester,,9,gill spacing,4,gill-spacing,"<i>close</i>,<i>crowded</i>,<i>distant</i>",
887401199,2/19/2016 17:53:47,1899379871,2/19/2016 17:21:56,False,neodev,1.0,GBR,M3,Bridgwater,Can't determine a mushroom is edible or poisonous.,1,gill spacing,4,gill-spacing,"<i>close</i>,<i>crowded</i>,<i>distant</i>",
887401199,2/19/2016 18:37:38,1899504299,2/19/2016 18:22:11,False,prodege,1.0,CAN,AB,Sherwood Park,I don't think that the closeness of the mushrooms to each other would indicate whether they are poisonous. I wasn't able to find anything when I researched it.,4,gill spacing,4,gill-spacing,"<i>close</i>,<i>crowded</i>,<i>distant</i>",
887401199,2/19/2016 18:49:28,1899550230,2/19/2016 18:22:38,False,neodev,1.0,USA,CA,Saratoga,"If it is surrounded by people that, he probably is because he has something wrong.",8,gill spacing,4,gill-spacing,"<i>close</i>,<i>crowded</i>,<i>distant</i>",
887401199,2/19/2016 19:42:42,1899624402,2/19/2016 19:39:48,False,clixsense,1.0,GBR,I3,Rochester,,10,gill spacing,4,gill-spacing,"<i>close</i>,<i>crowded</i>,<i>distant</i>",
887401200,2/19/2016 17:28:56,1899334745,2/19/2016 17:28:03,False,zoombucks,1.0,CAN,ON,Markham,,5,gill colour,5,gill-color,"<i>black</i>,<i>brown</i>,<i>buff</i>,<i>chocolate</i>,<i>gray</i>,<i>green</i>,<i>orange</i>,<i>pink</i>,<i>purple</i>,<i>red</i>,<i>white</i>,<i>yellow</i><i>black</i>,<i>brown</i>,<i>buff</i>,<i>chocolate</i>,<i>gray</i>,<i>green</i>,<i>orange</i>,<i>pink</i>,<i>purple</i>,<i>red</i>,<i>white</i>,<i>yellow</i>",
887401200,2/19/2016 17:32:12,1899338407,2/19/2016 17:29:57,False,neodev,1.0,CAN,ON,Toronto,gill colour will usually determine whether it's edible or not,8,gill colour,5,gill-color,"<i>black</i>,<i>brown</i>,<i>buff</i>,<i>chocolate</i>,<i>gray</i>,<i>green</i>,<i>orange</i>,<i>pink</i>,<i>purple</i>,<i>red</i>,<i>white</i>,<i>yellow</i><i>black</i>,<i>brown</i>,<i>buff</i>,<i>chocolate</i>,<i>gray</i>,<i>green</i>,<i>orange</i>,<i>pink</i>,<i>purple</i>,<i>red</i>,<i>white</i>,<i>yellow</i>",
887401200,2/19/2016 17:57:54,1899389832,2/19/2016 17:34:18,False,neodev,1.0,USA,PA,Reading,"Gill color can help in identifying a species of mushroom, but no one color points to the edibility or toxicity of a mushroom.",2,gill colour,5,gill-color,"<i>black</i>,<i>brown</i>,<i>buff</i>,<i>chocolate</i>,<i>gray</i>,<i>green</i>,<i>orange</i>,<i>pink</i>,<i>purple</i>,<i>red</i>,<i>white</i>,<i>yellow</i><i>black</i>,<i>brown</i>,<i>buff</i>,<i>chocolate</i>,<i>gray</i>,<i>green</i>,<i>orange</i>,<i>pink</i>,<i>purple</i>,<i>red</i>,<i>white</i>,<i>yellow</i>",
