_unit_id,_created_at,_id,_started_at,_tainted,_channel,_trust,_worker_id,_country,_region,_city,what_is_the_rationale_for_your_choice,what_is_the_relevance_of_the_property_given_above_for_determining_the_risk_of_traffic_accidents_in_a_given_country,friendly,friendlyshow,id,machine_readable_values,nil,uri,values,what_is_the_relevance_of_the_property_given_above_for_determining_the_risk_of_traffic_accidents_in_a_given_country_gold
888688038,2/22/2016 10:19:16,1901500021,2/22/2016 10:14:54,False,prodege,1.0,2166965449961366650,CAN,ON,Kitchener,Just because a region is divided does not mean traffic accidents will increase/decrease,1,Divided region,,1,Divided region,,,,
888688038,2/22/2016 10:21:10,1901500583,2/22/2016 10:16:21,False,elite,1.0,9196925273462636857,USA,NY,Rochester,,3,Divided region,,1,Divided region,,,,
888688038,2/22/2016 11:21:40,1901520902,2/22/2016 11:18:24,False,neodev,1.0,4007929488489228996,GBR,C9,Workington,Whether or not the region is divided is not a strong contributory factor.,4,Divided region,,1,Divided region,,,,
888688038,2/22/2016 11:45:17,1901532491,2/22/2016 11:20:39,False,clixsense,1.0,4691751909157761142,CAN,ON,Bowmanville,"It would depend on the reason for the divided region.  Is it geographical, political, economic?  Such as the difference between North and South Dakota where the differences would be small, or North and South Korea, where the differences would be massive.",5,Divided region,,1,Divided region,,,,
888688038,2/22/2016 12:24:28,1901549079,2/22/2016 12:18:14,False,elite,1.0,-320687174036273626,GBR,H9,London,it doesn't seem a divided region would have any connection to risk of traffic accidents,1,Divided region,,1,Divided region,,,,
888688039,2/22/2016 10:21:21,1901500635,2/22/2016 10:19:17,False,prodege,1.0,2166965449961366650,CAN,ON,Kitchener,the geographic location does not determine the number of traffic accidents,1,Geographical location,,2,"European countries, Western Asian countries, Middle Eastern countries, African countries, Southeast Asian countries, South American countries, South Asian countries
",,,"European countries, Western Asian countries, Middle Eastern countries, African countries, Southeast Asian countries, South American countries, South Asian countries
",
888688039,2/22/2016 10:23:54,1901501620,2/22/2016 10:21:12,False,elite,1.0,9196925273462636857,USA,NY,Rochester,,4,Geographical location,,2,"European countries, Western Asian countries, Middle Eastern countries, African countries, Southeast Asian countries, South American countries, South Asian countries
",,,"European countries, Western Asian countries, Middle Eastern countries, African countries, Southeast Asian countries, South American countries, South Asian countries
",
888688039,2/22/2016 10:31:34,1901504211,2/22/2016 10:27:21,False,neodev,1.0,-8733982938644719358,CAN,ON,Toronto,Geographical location has a little relevant to traffic accidents,6,Geographical location,,2,"European countries, Western Asian countries, Middle Eastern countries, African countries, Southeast Asian countries, South American countries, South Asian countries
",,,"European countries, Western Asian countries, Middle Eastern countries, African countries, Southeast Asian countries, South American countries, South Asian countries
",
888688039,2/22/2016 10:32:45,1901504466,2/22/2016 10:26:41,False,elite,1.0,-253534005572811879,USA,NY,Rochester,,4,Geographical location,,2,"European countries, Western Asian countries, Middle Eastern countries, African countries, Southeast Asian countries, South American countries, South Asian countries
",,,"European countries, Western Asian countries, Middle Eastern countries, African countries, Southeast Asian countries, South American countries, South Asian countries
",
888688039,2/22/2016 10:35:52,1901505373,2/22/2016 10:19:36,False,clixsense,1.0,4341775170096518973,CAN,QC,Montréal,I don't see how to location of a country can have an impact on this factor.,1,Geographical location,,2,"European countries, Western Asian countries, Middle Eastern countries, African countries, Southeast Asian countries, South American countries, South Asian countries
",,,"European countries, Western Asian countries, Middle Eastern countries, African countries, Southeast Asian countries, South American countries, South Asian countries
",
